1,Bashar  AL‐ASSAD,male,Syria,President of the Republic; person authorising and supervising the crackdown on demonstrators.,"direct,activity","a direct reason for being sanctioned refers to an individual's own actions, decisions, or responsibilities that violate international laws, norms, or sanctions criteria. the individual is sanctioned based on their own actions or on the reasonable assumption that, given their role or position within the sanctioned regime, they were directly involved in or responsible for the conduct in question.,sanctions are imposed based on specific actions or behaviors an individual has taken, such as human rights violations, involvement in terrorism, corruption, or cyberattacks. the focus is on what the person did.",COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036_20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,23-05-2011,EU
2,Maher  (a.k.a. Mahir) AL‐ASSAD,male,Syria,Member of the Syria Armed Forces of the rank of Colonel and the equivalent or higher in post after May 2011; Major General of the 42nd Brigade and former Brigadier Commander of the Army’s 4th Armoured Division. Member of the Assad family; brother of President Bashar al‐Assad.,"indirect,family_status","an indirect reason means the individual is sanctioned due to their association with, affiliation with a sanctioned person, or benefit from a sanctioned person’s actions, even if they did not commit the wrongful act themselves.,sanctions are applied based on familial or close personal ties to sanctioned individuals, under the assumption that these connections may facilitate or benefit from illicit activity or allow sanctions to be circumvented.",COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036_20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,09-05-2011,EU
3,Ali MAMLUK,male,Syria,Presidential advisor for security affairs since January 2024. Former Vice President of the Syrian Arab Republic for Security Affairs. Former Director of the National Security Bureau. Former Head of Syrian Intelligence Directorate involved in violence against demonstrators.,"direct,activity","a direct reason for being sanctioned refers to an individual's own actions, decisions, or responsibilities that violate international laws, norms, or sanctions criteria. the individual is sanctioned based on their own actions or on the reasonable assumption that, given their role or position within the sanctioned regime, they were directly involved in or responsible for the conduct in question.,sanctions are imposed based on specific actions or behaviors an individual has taken, such as human rights violations, involvement in terrorism, corruption, or cyberattacks. the focus is on what the person did.",COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036_20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,09-05-2011,EU
4,Atif NAJIB,male,Syria,Former Head of the Political Security Directorate in Dara’a. Involved in violence against demonstrators. Member of the Assad family; cousin of President Bashar al-Assad.,"direct,activity,family_status","a direct reason for being sanctioned refers to an individual's own actions, decisions, or responsibilities that violate international laws, norms, or sanctions criteria. the individual is sanctioned based on their own actions or on the reasonable assumption that, given their role or position within the sanctioned regime, they were directly involved in or responsible for the conduct in question.,sanctions are imposed based on specific actions or behaviors an individual has taken, such as human rights violations, involvement in terrorism, corruption, or cyberattacks. the focus is on what the person did.,sanctions are applied based on familial or close personal ties to sanctioned individuals, under the assumption that these connections may facilitate or benefit from illicit activity or allow sanctions to be circumvented.",COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036_20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,09-05-2011,EU
5,Hafiz  MAKHLOUF,male,Syria,"Former Colonel and Head of Unit in General Intelligence Directorate, Damascus Branch in post after May 2011. Member of the Makhlouf family; cousin of President Bashar al-Assad.","indirect,family_status","an indirect reason means the individual is sanctioned due to their association with, affiliation with a sanctioned person, or benefit from a sanctioned person’s actions, even if they did not commit the wrongful act themselves.,sanctions are applied based on familial or close personal ties to sanctioned individuals, under the assumption that these connections may facilitate or benefit from illicit activity or allow sanctions to be circumvented.",COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036_20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,09-05-2011,EU
6,Muhammad  Dib  ZAYTUN,male,Syria,Director of the National Security Bureau since July 2019. Former Head of the General Security Directorate; involved in violence against demonstrators.,"direct,activity","a direct reason for being sanctioned refers to an individual's own actions, decisions, or responsibilities that violate international laws, norms, or sanctions criteria. the individual is sanctioned based on their own actions or on the reasonable assumption that, given their role or position within the sanctioned regime, they were directly involved in or responsible for the conduct in question.,sanctions are imposed based on specific actions or behaviors an individual has taken, such as human rights violations, involvement in terrorism, corruption, or cyberattacks. the focus is on what the person did.",COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036_20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,09-05-2011,EU
7,Amjad  ABBAS  (a.k.a. al‐Abbas),male,Syria,"Former head of Political Security in Banyas, involved in violence against demonstrators in Baida. Promoted to the rank of Colonel in 2018.","direct,activity","a direct reason for being sanctioned refers to an individual's own actions, decisions, or responsibilities that violate international laws, norms, or sanctions criteria. the individual is sanctioned based on their own actions or on the reasonable assumption that, given their role or position within the sanctioned regime, they were directly involved in or responsible for the conduct in question.,sanctions are imposed based on specific actions or behaviors an individual has taken, such as human rights violations, involvement in terrorism, corruption, or cyberattacks. the focus is on what the person did.",COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036_20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,09-05-2011,EU
8,Rami  MAKHLOUF,male,Syria,"Leading businessman operating in Syria with interests in the financial services, transport and property sectors. He has financial interests in and/or holds senior and executive positions in the investment funds Al Mashreq, Bena Properties and Cham Holding.; He furnishes financing and support to the Syrian regime, through his business interests.; He is an influential member of the Makhlouf family and closely connected to the Assad family; cousin of President Bashar Al-Assad.","direct,activity,profit,family_status","a direct reason for being sanctioned refers to an individual's own actions, decisions, or responsibilities that violate international laws, norms, or sanctions criteria. the individual is sanctioned based on their own actions or on the reasonable assumption that, given their role or position within the sanctioned regime, they were directly involved in or responsible for the conduct in question.,sanctions are imposed based on specific actions or behaviors an individual has taken, such as human rights violations, involvement in terrorism, corruption, or cyberattacks. the focus is on what the person did.,sanctions target individuals who have benefited economically from sanctioned regimes and/or individuals. the focus is on how the individual profited from someone else’s actions, without having committed any acts themselves.,sanctions are applied based on familial or close personal ties to sanctioned individuals, under the assumption that these connections may facilitate or benefit from illicit activity or allow sanctions to be circumvented.",COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036_20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,09-05-2011,EU
9,Abd al-Fatah  QUDSIYAH,male,Syria,Officer of the rank of Major General in the Syrian Armed Forces in post after May 2011.; Deputy Director of the National Security Bureau of the Ba’ath Party. Former Head of the Syrian Military Intelligence Directorate. Involved in violent repression of the civilian population in Syria.,"direct,activity","a direct reason for being sanctioned refers to an individual's own actions, decisions, or responsibilities that violate international laws, norms, or sanctions criteria. the individual is sanctioned based on their own actions or on the reasonable assumption that, given their role or position within the sanctioned regime, they were directly involved in or responsible for the conduct in question.,sanctions are imposed based on specific actions or behaviors an individual has taken, such as human rights violations, involvement in terrorism, corruption, or cyberattacks. the focus is on what the person did.",COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036_20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,09-05-2011,EU
10,Jamil  (a.k.a. Jameel) HASSAN  (a.k.a. al‐Hassan),male,Syria,Officer of the rank of Major‐General in the Syrian Air Force in post after May 2011. Former head of the Syrian Air Force Intelligence in post after May 2011 and until July 2019. Responsible for violent repression of the civilian population in Syria.,"direct,activity","a direct reason for being sanctioned refers to an individual's own actions, decisions, or responsibilities that violate international laws, norms, or sanctions criteria. the individual is sanctioned based on their own actions or on the reasonable assumption that, given their role or position within the sanctioned regime, they were directly involved in or responsible for the conduct in question.,sanctions are imposed based on specific actions or behaviors an individual has taken, such as human rights violations, involvement in terrorism, corruption, or cyberattacks. the focus is on what the person did.",COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036_20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,09-05-2011,EU
