Name_id,Name,Gender,Statement_of_reason,Activity-based,Profit_based,Status_based,Family-member_sanctions,Date_designated,Doc_num,Doc_title,Doc_url,Nationality,Regime_name,Designation_source,Unnamed: 15
1,alesia miloradovich or alesya miloradovich or olesya miloradovic,female,"Alesya Miloradovich is a collaborator of the Government of the Russian Federation in France, and calls herself a ‘foreign affairs facilitator’.; Alesya Miloradovich organised a so-called ‘electoral observation’ mission in the Ukrainian territories illegally occupied by Russia, in the context of the referendum on the annexation of those regions to Russia, and recruited French nationals who participated in the mission. She publicly admitted that she did this for the benefit of the Russian Government.; She was also a co-organiser of trips for French children to the Artek International Children Center in illegally annexed Crimea, which were funded by the Government of the Russian Federation. She has also been involved in the Russian propaganda project ‘Foreign journalists for Russia’ and has participated in spreading pro-Russian views, including by claiming that French and Western societies support Russian actions against Ukraine.; Therefore, Alesya Miloradovich is responsible for, implementing, supporting or benefiting from actions or policies by the Government of the Russian Federation which undermine or threaten democracy, the rule of law, stability or security in a third country by planning, directing, engaging in, directly or indirectly, or otherwise facilitating the obstruction or undermining of the democratic political process of a third country, including by attempting to destabilise its constitutional order.",1,1,0,0,16-12-2024,02024R2642_20241216,COUNCIL_REGULATION_EU_2024_2642_8_October_2024,http://data.europa.eu/eli/reg/2024/2642/2024-12-16,Russian,Russia,EU,
2,olga alekseevna belyavtseva,female,"Olga Alekseevna Belyavtseva is a Russian entrepreneur. She is the wife and business partner of Visa Nokhayevich Mizaev. She is associated with Visa Nokhayevich Mizaev through the co-ownership of the two Russia-based Limited Liability Companies ‘OOO Agronom-sad’ and ‘OOO Biplast’. She founded those companies and was the single shareholder before transferring 30 % of the shares for each company after their marriage in 2018. Moreover, Belyavtseva and Mizaev had a similar ownership arrangement over the company Agronom-Sad Trading before Mizaev sold his shares to Belyavtseva on 22 February 2023 in direct temporal connection with Visa Mizaev’s involvement in the Russian intelligence operation against the Federal Republic of Germany, providing Mizaev with additional liquidity and concealing his asset base.; Therefore, Olga Alekseevna Belyavtseva supports natural or legal persons, entities or bodies engaged in implementing actions or policies by the Government of the Russian Federation which undermine or threaten the security of the Federal Republic of Germany. She is also associated with Visa Nokhayevich Mizaev.",1,0,1,1,16-12-2024,02024R2642_20241216,COUNCIL_REGULATION_EU_2024_2642_8_October_2024,http://data.europa.eu/eli/reg/2024/2642/2024-12-16,Russian,Russia,EU,
3,sofia avraamovna zakharova,female,"Sofia Avraamovna Zakharova is the department head in the Office of the President of the Russian Federation for the Development of Information and Communication Technologies and Communications Infrastructure. She has been involved in the so-called ‘Doppelganger’ campaign aimed at manipulating information and spreading disinformation in support of the Russian war of aggression against Ukraine and targeting the Union’s Member States, the United States and Ukraine. She has been working directly with Ilya Gambashidze and Nikolai Tupikin, heads of Social Design Agency and GK Struktura, respectively, on this operation. She has also been one of the team leaders and active members of the so-called ‘Team I’ lead by Ilya Gambashidze, which stands behind the Kremlin’s campaign for disinformation in the West, interfering in the elections of different countries, and is preparing projects to discredit the Russian opposition.; Therefore, Sofia Avraamovna Zakharova is implementing actions or policies by the Government of the Russian Federation which undermine or threaten stability or security in the Union or in third countries by planning and directing the use of coordinated information manipulation and interference.",1,0,0,0,16-12-2024,02024R2642_20241216,COUNCIL_REGULATION_EU_2024_2642_8_October_2024,http://data.europa.eu/eli/reg/2024/2642/2024-12-16,Russian,Russia,EU,
4,tinatin givievna kandelaki,female,"Tinatin Givievna Kandelaki is a Russian journalist employed by the state-owned company Gazprom Media, and a public figure who has been using her popularity and influence in the public sphere to voice Russian propaganda and to justify the ongoing Russian war of aggression against Ukraine. She was among those who performed during the Luzhniki stadium concert of 18 March 2022 that marked the 8th anniversary of the illegal annexation of Crimea and served as a symbol of support for the ongoing war in Ukraine. After 2014, she fully supported the illegal annexation of Crimea. Moreover, she is a Deputy General Director of Gazprom Media Holding, a holding of several media outlets that spread anti-Ukrainian propaganda and justify Russian aggression against Ukraine.; Several TV channels owned and governed by Gazprom Media Holding have replaced Ukrainian TV outlets on local TV frequencies previously seized forcefully by Russians after the Russian invasion of Crimea and have thus actively participated in the process of the illegal annexation of Crimea.; Therefore, Tinatin Givievna Kandelaki is responsible for, implementing, supporting or benefiting from actions or policies by the Government of the Russian Federation which undermine or threaten democracy, the rule of law, stability or security in the Union or in one or several of its Member States, in an international organisation, or in a third country, or which undermine or threaten the sovereignty or independence of one or several of its Member States, or of a third country, by planning, directing, engaging in, directly or indirectly, supporting or otherwise facilitating the use of coordinated information manipulation and interference.",1,1,0,0,16-12-2024,02024R2642_20241216,COUNCIL_REGULATION_EU_2024_2642_8_October_2024,http://data.europa.eu/eli/reg/2024/2642/2024-12-16,Georgian,Russia,EU,
5,ekaterina vasilevna fedotova,female,"Ekaterina Vasilevna Fedotova (Naumova) works in the Representation of the Ministry of Internal Affairs of Russia for the city of Khimki, Moscow Oblast. In her position, she took part in the court meeting of 18 January 2021, organised at a police station, and demanded the extension of the illegal detention of Alexei Navalny by 30 days.; Therefore, Ekaterina Vasilevna Fedotova (Naumova) is responsible for serious human rights violations in Russia by violating freedom of opinion and expression.",1,0,0,0,27-05-2024,02024R1485_20240913,COUNCIL_REGULATION _EU_ 2024_1485_27_May_2024,http://data.europa.eu/eli/reg/2024/1485/2024-09-13,Russian,Russia,EU,
6,ekaterina viktorovna galyautdinova,female,"Ekaterina Viktorovna Galyautdinova is a Russian judge working in the Kirovsky District Court, city of Tomsk. In her position, she twice rejected complaints about the inaction of the Tomsk Transport Police regarding the investigation into the poisoning of Alexei Navalny.; Therefore, Ekaterina Viktorovna Galyautdinova is responsible for activities which seriously undermine the rule of law in Russia.",1,0,0,0,27-05-2024,02024R1485_20240913,COUNCIL_REGULATION _EU_ 2024_1485_27_May_2024,http://data.europa.eu/eli/reg/2024/1485/2024-09-13,Russian,Russia,EU,
7,elena sergeevna astakhova,female,"As judge of the Golovinsky District Court of Moscow, Elena Sergeevna Astakhova, sentenced Oleg Orlov, a prominent human rights defender and co-chairman of ‘Memorial’, to two years and six months in a general regime colony on politically motivated charges for speaking up against Russia’s war of aggression against Ukraine. Oleg Orlov, aged 70, is one of the most respected and longest-serving human rights defenders in Russia, one of the leaders of the 2022 Nobel Peace Prize-winning organisation Memorial Human Rights Defence Center (HRDC ‘Memorial’), which was liquidated as part of the systematic, wide-scale crackdown on the freedoms of expression, peaceful assembly, and association in Russia. Oleg Orlov was charged with and sentenced for allegedly ‘discrediting’ the Russian army after publishing an opinion piece in French media against Russia’s war of aggression against Ukraine.; Therefore, Elena Sergeevna Astakhova is responsible for serious human rights violations in Russia by violating freedom of opinion and expression.",1,0,0,0,27-05-2024,02024R1485_20240913,COUNCIL_REGULATION _EU_ 2024_1485_27_May_2024,http://data.europa.eu/eli/reg/2024/1485/2024-09-13,Russian,Russia,EU,
8,inna alexandrovna fesenko,female,"Inna Alexandrovna Fesenko is a Russian judge working in the Kirovsky District Court, city of Tomsk. In her position, she twice rejected complaints about the inaction of the Tomsk transport police regarding the poisoning of Alexei Navalny. Furthermore, she imposed a ban on certain actions on Ksenia Fadeeva, the former head of Navalny’s organisation headquarters in Tomsk.; Therefore, Inna Alexandrovna Fesenko is responsible for activities which seriously undermine the rule of law in Russia.",1,0,0,0,27-05-2024,02024R1485_20240913,COUNCIL_REGULATION _EU_ 2024_1485_27_May_2024,http://data.europa.eu/eli/reg/2024/1485/2024-09-13,Russian,Russia,EU,
9,irina geroldovna kim,female,"Irina Geroldovna Kim is a judge of the Kovrov City Court of Vladimir Oblast.; As from 2022, she was directly involved in creating and maintaining torturous conditions for Alexei Navalny through repeatedly rejecting Alexei Navalny’s claims against the IK-6 penal colony regarding his treatment, where he was serving a sentence imposed as a result of politically motivated prosecution.; Therefore, Irina Geroldovna Kim is responsible for serious human rights violations in Russia, including torture and other cruel, inhuman or degrading treatment or punishment, arbitrary detentions, and the systematic violation of freedom of opinion and expression.",1,0,0,0,27-05-2024,02024R1485_20240913,COUNCIL_REGULATION _EU_ 2024_1485_27_May_2024,http://data.europa.eu/eli/reg/2024/1485/2024-09-13,Russian,Russia,EU,
10,oksana vasilyevna demyasheva,female,"As judge of the Vasileostrovsky District Court of Saint Petersburg, Oksana Vasilyevna Demyasheva sentenced Alexandra Skochilenko, an artist, to seven years in prison on politically-motivated charges for spreading so-called ‘fake news’ about the Russian army. Skochilenko was arrested for replacing price tags at a supermarket with anti-war stickers. She became one of the first people charged under the newly passed criminal law outlawing so-called ‘fake news’ about the Russian army, her trial attracting wide public attention for the unprecedented pressure Skochilenko faced from the jail administration, the judge, and the prosecution.; Therefore, Oksana Vasilyevna Demyasheva is responsible for serious human rights violations in Russia by violating freedom of opinion and expression.",1,0,0,0,27-05-2024,02024R1485_20240913,COUNCIL_REGULATION _EU_ 2024_1485_27_May_2024,http://data.europa.eu/eli/reg/2024/1485/2024-09-13,Russian,Russia,EU,
