Name,Gender,Reason,Activity_based,Profit_based,Status_based,Family_member_sanctions,Dates,Doc_title,Doc_number,Doc_url,Case_Study,Nationality
Uladzimir Uladzimiravich NAVUMAU,male,"Failed to take action to investigate the case of the unresolved disappearances of Yuri Zakharenko, Viktor Gonchar, Anatoly Krasovski and Dmitri Zavadski in Belarus in 1999-2000. Former Minister of Internal Affairs and also former Head of the President's Security Service. As a Minister of Internal Affairs he was responsible for the repression of peaceful demonstrations until his retirement on 6 April 2009 for health reasons. Received a residence in the Drozdy nomenklatura district in Minsk from the Presidential Administration. In October 2014, was awarded the Order ‘For Merit’ III degree by President Lukashenka.",,,,,24-09-2004,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Dzmitry Valerievich PAULICHENKA,male,"Key person in the unresolved disappearances of Yuri Zakharenko, Viktor Gonchar, Anatoly Krasovski and Dmitri Zavadski in Belarus in 1999-2000. Former Commander of the Special Rapid Response Unit (SOBR) at the Ministry of Internal Affairs (MoIA).; Businessman, Head of ‘Honour’, the MoIA's Association of Veterans of Special Forces of the MoIA.; He was identified as commanding an OMON unit during the brutal crackdown on protesters that took place in Belarus in the wake of the 2020 presidential election.",,,,,24-09-2004,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Viktar Uladzimiravich SHEIMAN (Viktar Uladzimiravich SHEYMAN),male,"Former Head of the Belarus President Property Management Directorate. Responsible for the unresolved disappearances of Yuri Zakharenko, Viktor Gonchar, Anatoly Krasovski and Dmitri Zavadski in Belarus in 1999-2000. Former Secretary of the Security Council. Sheiman remains a Special Assistant/Aid to the President.; He remains an influential and active member of the Lukashenka regime.",,,,,24-09-2004,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
"Iury Leanidavich SIVAKAU (Yuri Leanidavich SIVAKAU, SIVAKOU)",male,"Orchestrated the unresolved disappearances of Yuri Zakharenko, Viktor Gonchar, Anatoly Krasovski and Dmitri Zavadski in Belarus in 1999-2000. Former Minister of Tourism and Sports, former Minister of Internal Affairs and former Deputy Head of the Presidential Administration.",,,,,24-09-2004,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Yuri Khadzimuratavich KARAEU,male,"In his former leadership position as Minister of Internal Affairs (MoIA), he is responsible for the repression and intimidation campaign led by MoIA forces in the wake of the 2020 presidential election, in particular arbitrary arrests and ill treatment, including torture, of peaceful demonstrators as well as intimidation and violence against journalists.; Remains active in the Lukashenka regime as an aide to the President of Belarus – Inspector for the Grodno/Hrodna Region/Oblast.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Genadz Arkadzievich KAZAKEVICH,male,"In his former leadership position as First Deputy Minister of Internal Affairs (MoIA), he is responsible for the repression and intimidation campaign led by MoIA forces in the wake of the 2020 presidential election, in particular arbitrary arrests and ill-treatment, including torture, of peaceful demonstrators as well as intimidation and violence against journalists.; He remains active in the Lukashenka regime as the Deputy Minister of Internal Affairs. He retains his post of Chief of the Criminal Militia.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Aliaksandr Piatrovich BARSUKOU,male,"In his former leadership position as Deputy Minister of Internal Affairs (MoIA), he is responsible for the repression and intimidation campaign led by MoIA forces in the wake of the 2020 presidential election, in particular arbitrary arrests and ill-treatment, including torture, of peaceful demonstrators as well as intimidation and violence against journalists.; He remains active in the Lukashenka regime as Aide to the President of Belarus – Inspector for the Minsk Region/Oblast.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Siarhei Mikalaevich KHAMENKA,male,"In his former leadership position as Deputy Minister of the Ministry of Internal Affairs (MoIA), he was responsible for the repression and intimidation campaign led by MoIA forces in the wake of the 2020 presidential election, in particular arbitrary arrests and ill-treatment, including torture, of peaceful demonstrators as well as intimidation and violence against journalists.; He remains active in the Lukashenka regime as Minister of Justice.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Yuri Genadzevich NAZARANKA,male,"In his former leadership position as Deputy Minister of the Ministry of Internal Affairs (MoIA) and Commander of the MoIA Internal Troops, he is responsible for the repression and intimidation campaign led by MoIA forces, in particular the Internal Troops under his command, in the wake of the 2020 presidential election, in particular arbitrary arrests and ill-treatment, including torture, of peaceful demonstrators as well as intimidation and violence against journalists.; He remains active in the Lukashenka regime as first Deputy Minister of Internal Affairs and Head of the Public Security Police.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
Khazalbek Baktibekavich ATABEKAU,male,"In his former position as Deputy Commander of the Internal Troops of the Ministry of Internal Affairs (MoIA), he was responsible for the repression and intimidation campaign led by MoIA forces, in particular the Internal Troops under his command, in the wake of the 2020 presidential election, in particular arbitrary arrests and ill-treatment, including torture, of peaceful demonstrators, as well as intimidation and violence against journalists.; He was passed to the military reserve in March 2022 by the decree of Aliaksandr Lukashenka. He has the right to wear military uniform and insignia.",,,,,02-10-2020,COUNCIL_REGULATION_EU_765_2006_of_18_May_2006,02006R0765-20250226,http://data.europa.eu/eli/reg/2006/765/2025-02-26,Belarus,unknown
