Name,Gender,Reason,Activity_based,Profit_based,Family_member_sanctions,Dates,Doc_title,Doc_number,Doc_url,Case_Study,Nationality
Tariq YASMINA,male,"Tariq Yasmina acts as the liaison officer between the Scientific Studies and Research Centre (SSRC) and the Presidential Palace, and, as such, is involved in the use and preparations for the use of chemical weapons by the Syrian regime.",,,,21-01-2019,COUNCIL_REGULATION_EU_2018_1542_of_15_October_2018,02018R1542-20240913,http://data.europa.eu/eli/reg/2018/1542/2024-09-13,Chemical_weapons,Syrian
Khaled NASRI,male,"Khaled Nasri is the Director of Institute 1000, the division of the Scientific Studies and Research Centre (SSRC) responsible for developing and producing computer and electronic systems for Syria's chemical weapons programme.",,,,21-01-2019,COUNCIL_REGULATION_EU_2018_1542_of_15_October_2018,02018R1542-20240913,http://data.europa.eu/eli/reg/2018/1542/2024-09-13,Chemical_weapons,Syrian
Walid ZUGHAIB,male,"Walid Zughaib is the Director of Institute 2000, the division of the Scientific Studies and Research Centre (SSRC) responsible for mechanical development and production for Syria's chemical weapons programme.",,,,21-01-2019,COUNCIL_REGULATION_EU_2018_1542_of_15_October_2018,02018R1542-20240913,http://data.europa.eu/eli/reg/2018/1542/2024-09-13,Chemical_weapons,Syrian
Firas AHMED,male,"Firas Ahmed is the Director of the Security Office of Institute 1000, the division of the Scientific Studies and Research Centre (SSRC) responsible for developing and producing computer and electronic systems for Syria's chemical weapons programme. He was involved in transferring and concealing chemical weapons related materials following Syria's accession to the Chemical Weapons Convention.",,,,21-01-2019,COUNCIL_REGULATION_EU_2018_1542_of_15_October_2018,02018R1542-20240913,http://data.europa.eu/eli/reg/2018/1542/2024-09-13,Chemical_weapons,Syrian
Said SAID,male,"Said Said is a significant figure in Institute 3000 a.k.a. Institute 6000, the division of the Scientific Studies and Research Centre (SSRC) that is responsible for developing and producing Syria’s chemical weapons.",,,,21-01-2019,COUNCIL_REGULATION_EU_2018_1542_of_15_October_2018,02018R1542-20240913,http://data.europa.eu/eli/reg/2018/1542/2024-09-13,Chemical_weapons,unknown
Anatoliy Vladimirovich CHEPIGA,male,"GRU Officer Anatoliy Chepiga (a.k.a. Ruslan Boshirov) possessed, transported and then, during the weekend of 4 March 2018, in Salisbury, used a toxic nerve agent (‘Novichok’). On 5 September 2018, the UK Crown Prosecution Service charged Ruslan Boshirov for conspiracy to murder Sergei Skripal; for the attempted murder of Sergei Skripal, Yulia Skripal and Nick Bailey; for the use and possession of Novichok; and for causing grievous bodily harm with intent to Yulia Skripal and Nick Bailey.",,,,21-01-2019,COUNCIL_REGULATION_EU_2018_1542_of_15_October_2018,02018R1542-20240913,http://data.europa.eu/eli/reg/2018/1542/2024-09-13,Chemical_weapons,unknown
Alexander Yevgeniyevich MISHKIN,male,"GRU Officer Alexander Mishkin (a.k.a. Alexander Petrov) possessed, transported and then, during the weekend of 4 March 2018, in Salisbury, used a toxic nerve agent (‘Novichok’). On 5 September 2018, the UK Crown Prosecution Service charged Alexander Petrov for conspiracy to murder Sergei Skripal; for the attempted murder of Sergei Skripal, Yulia Skripal and Nick Bailey; for the use and possession of Novichok; and for causing grievous bodily harm with intent to Yulia Skripal and Nick Bailey.",,,,21-01-2019,COUNCIL_REGULATION_EU_2018_1542_of_15_October_2018,02018R1542-20240913,http://data.europa.eu/eli/reg/2018/1542/2024-09-13,Chemical_weapons,unknown
Vladimir Stepanovich ALEXSEYEV,male,"Vladimir Stepanovich Alexseyev is the First Deputy Head of the GRU (a.k.a. GU). Given his senior leadership role in the GRU, Alexseyev is responsible for the possession, transport and use in Salisbury during the weekend of 4 March 2018 of the toxic nerve agent ‘Novichok’ by officers from the GRU.",,,,21-01-2019,COUNCIL_REGULATION_EU_2018_1542_of_15_October_2018,02018R1542-20240913,http://data.europa.eu/eli/reg/2018/1542/2024-09-13,Chemical_weapons,unknown
Igor Olegovich KOSTYUKOV,male,"Igor Olegovich Kostyukov, given his senior leadership role as First Deputy Head of the GRU (a. k. a. GU) at that time, is responsible for the possession, transport and use in Salisbury during the weekend of 4 March 2018 of the toxic nerve agent ‘Novichok’ by officers from the GRU.",,,,21-01-2019,COUNCIL_REGULATION_EU_2018_1542_of_15_October_2018,02018R1542-20240913,http://data.europa.eu/eli/reg/2018/1542/2024-09-13,Chemical_weapons,unknown
Andrei Veniaminovich YARIN,male,"Andrei Yarin is Chief of the Presidential Domestic Policy Directorate in the Presidential Executive Office in the Russian Federation. In this function, he is in charge of designing and implementing internal political orientations. Andrei Yarin was also appointed to a task force inside the Presidential Executive Office whose role was to counter Alexei Navalny’s influence in Russian society including through operations meant to discredit him.; Alexei Navalny has been the target of systematic harassment and repression by State and judicial actors in the Russian Federation due to his prominent role in the political opposition. Alexei Navalny’s activities were closely monitored by the authorities of the Russian Federation during his journey to Siberia in August 2020. On 20 August 2020, he was taken seriously ill and admitted to a hospital in Omsk, Russian Federation. On 22 August 2020, he was transported to a hospital in Berlin, Germany. A specialised laboratory in Germany subsequently found clear evidence, also corroborated by laboratories in France and Sweden, that Alexei Navalny had been poisoned with a toxic nerve agent of the Novichok group. This toxic agent is accessible only to State authorities in the Russian Federation.; In these circumstances, it is reasonable to conclude that the poisoning of Alexei Navalny was only possible with the consent of the Presidential Executive Office. Given his senior leadership role in that Office, Andrei Yarin is therefore responsible for inducing and providing support to the persons who carried out or were involved in the poisoning of Alexei Navalny with the Novichok nerve agent, which constitutes a use of chemical weapons under the Chemical Weapons Convention.",,,,15-10-2020,COUNCIL_REGULATION_EU_2018_1542_of_15_October_2018,02018R1542-20240913,http://data.europa.eu/eli/reg/2018/1542/2024-09-13,Chemical_weapons,Russian
