Name,Gender,Reason,Activity_based,Profit_based,Family_member_sanctions,Dates,Doc_title,Doc_number,Doc_url,Case_Study,Nationality
Alexander (Alexandr) Petrovich KALASHNIKOV,male,"Alexander Kalashnikov was the director of the Russian Federal Penitentiary Service (FSIN) from 8 October 2019 until 25 November 2021. In that position, he oversaw all activities of the FSIN. In his capacity as director of the FSIN, he was responsible for serious human rights violations in Russia, including arbitrary arrests and detentions.; While Alexei Navalny was recovering in Germany (September 2020 – January 2021) after having been poisoned with a toxic nerve agent of the Novichok group, on 28 December 2020 FSIN demanded that he immediately present himself to a probation officer or face a prison sentence for violating a suspended sentence for fraud conviction. That fraud conviction was found to be arbitrary and unfair by the European Court of Human Rights in 2018. On 17 January 2021, acting on the orders of Alexander Kalashnikov, FSIN officers detained Alexei Navalny upon his arrival at Moscow airport.; Alexei Navalny’s arrest is based on a decision by the Khimki city court, which in turn was issued at the request of FSIN. In late December 2020, FSIN had already requested that a court replace Alexei Nalvany’s suspended sentence with a prison term. On 17 February 2021, the European Court of Human Rights ordered the Government of Russia to release Alexei Navalny.",,,,02-03-2021,COUNCIL_REGULATION_EU_2020_1998_7_December_2020,02020R1998-20241204,http://data.europa.eu/eli/reg/2020/1998/2024-12-04,Human_rights,Russian
Alexander (Alexandr) Ivanovich BASTRYKIN,male,"Alexander Bastrykin has served as chairman of the Investigative Committee of the Russian Federation (the “Committee”) since January 2011 (and as acting chairman from October to December 2010). In that position, he oversees all activities of the Committee. Officially, the Committee is presided over by the Russian President. In Alexander Bastrykin’s capacity as chairman of the Committee, he is responsible for serious human rights violations in Russia, including arbitrary arrests and detentions.; Alexander Bastrykin is responsible for the Committee’s widespread and systematic repressive campaigns against the Russian opposition, targeting and investigating its members. On 29 December 2020, the Committee launched an investigation into the opposition leader Alexei Navalny, charging him with large-scale fraud. Alexei Navalny and others published articles on Alexander Bastrykin’s ownership of Czech real estate firm LAW Bohemia in the 2000s.; In 2022, the Investigative Committee, which Alexander Bastrykin is still chairing, charged 92 Ukrainian soldiers with crimes against humanity during Russia’s war of aggression against Ukraine.",,,,02-03-2021,COUNCIL_REGULATION_EU_2020_1998_7_December_2020,02020R1998-20241204,http://data.europa.eu/eli/reg/2020/1998/2024-12-04,Human_rights,Russian
Igor Viktorovich KRASNOV,male,"Igor Krasnov has been Prosecutor General of the Russian Federation since 22 January 2020, and is the former Deputy Chairman of the Investigative Committee of the Russian Federation. In his position as Prosecutor General, he supervises the Prosecutor’s Offices in the Russian Federation, the Special Prosecutor’s Offices and the Military Prosecutor’s Office. In his capacity as Prosecutor General, he is responsible for serious human rights violations, including the arbitrary detentions of protesters, and for widespread and systematic repression of freedom of peaceful assembly and of association, and freedom of opinion and expression.; Ahead of the 23 January 2021 protests, the Prosecutor General’s Office warned that participants would be held responsible. Moreover, the Prosecutor General’s Office demanded that the Federal Service for Supervision in the Sphere of Communications, Information Technology and Mass Communications (Roskomnadzor) restrict access to opposition websites and social network accounts that contained information on planned gatherings of Alexei Navalny’s supporters. On 29 January 2021, the Prosecutor General’s Office once again demanded that Roskomnadzor restrict access to opposition websites and social network accounts, this time ahead of the pro-Navalny protests on 30 and 31 January 2021. Warnings were sent to internet companies (Facebook, TikTok, Twitter, Google, Mail.ru Group). The Prosecutor General’s Office also announced that those taking part in the demonstrations would be prosecuted.; The Prosecutor General’s Office supported the request by the Russian Federal Penitentiary Service (FSIN) to convert the suspended sentence imposed on Alexei Navalny in a case of alleged fraud to a prison sentence. Despite the fact that his conviction in that case had been found arbitrary and unfair by the European Court of Human Rights in 2018, Alexei Navalny was arrested upon his arrival at Moscow airport on 17 January 2021.",,,,unknown,COUNCIL_REGULATION_EU_2020_1998_7_December_2020,02020R1998-20241204,http://data.europa.eu/eli/reg/2020/1998/2024-12-04,Human_rights,Russian
Viktor Vasilievich (Vasilyevich) ZOLOTOV,male,"Viktor Zolotov has been the Director of the Federal Service of National Guard Troops of the Russian Federation (Rosgvardia) since 5 April 2016 and, therefore, Commander-in-Chief of the National Guard Troops of the Russian Federation, as well as Commander of OMON – the Special Purpose Mobile Unit integrated in Rosgvardia. In that position, he oversees all activities of Rosgvardia and OMON troops. In his capacity as Director of Rosgvardia, he is responsible for serious human rights violations in Russia, including arbitrary arrests and detentions and systematic and widespread violations of freedom of peaceful assembly and of association, in particular by violently repressing protests and demonstrations.; Rosgvardia was employed to quell the pro-Navalny protests of 23 January and 21 April 2021, and many OMON and National Guard officers were reported to have used brutality and violence against protesters. Dozens of journalists were targeted with aggression by the security forces, including Meduza’s correspondent Kristina Safronova, who was hit by an OMON officer, and Novaya Gazeta’s journalist Yelizaveta Kirpanova, who was hit on the head with a truncheon leaving her bleeding. During the 23 January 2021 protests, security forces arbitrarily detained more than 300 minors.",,,,02-03-2021,COUNCIL_REGULATION_EU_2020_1998_7_December_2020,02020R1998-20241204,http://data.europa.eu/eli/reg/2020/1998/2024-12-04,Human_rights,Russian
ZHU Hailun,male,"Former Secretary of the Political and Legal Affairs Committee of the Xinjiang Uyghur Autonomous Region (XUAR) and former Deputy Secretary of the Party Committee of the XUAR (2016 to 2019). Former Deputy Head of the Standing Committee of the 13th People’s Congress of the XUAR, a regional legislative body (2019 to 5 February 2021 but still active until at least March 2021). Member of the 13th National People’s Congress of the People’s Republic of China (in session from 2018 to 2023) representing the XUAR. Member of the National People’s Congress Supervisory and Judicial Affairs Committee since 19 March 2018. As Secretary of the Political and Legal Affairs Committee of the XUAR (2016 to 2019), Zhu Hailun was responsible for maintaining internal security and law enforcement in the XUAR. As such, he held a key political position in charge of overseeing and implementing a large-scale surveillance, detention and indoctrination programme targeting Uyghurs and people from other Muslim ethnic minorities. Zhu Hailun has been described as the ‘architect’ of this programme. He is therefore responsible for serious human rights violations in China, in particular large-scale arbitrary detentions inflicted upon Uyghurs and people from other Muslim ethnic minorities.; As Deputy Head of the Standing Committee of the 13th People’s Congress of the XUAR (2019 to 5 February 2021), Zhu Hailun continued to exercise a decisive influence in the XUAR where the large-scale surveillance, detention and indoctrination programme targeting Uyghurs and people from other Muslim ethnic minorities continues.",,,,22-03-2021,COUNCIL_REGULATION_EU_2020_1998_7_December_2020,02020R1998-20241204,http://data.europa.eu/eli/reg/2020/1998/2024-12-04,Human_rights,Chinese
WANG Junzheng,male,"Party Secretary of the Chinese Communist Party (CCP) in the Tibet Autonomous Region (TAR) since October 2021. Member of the 20th Chinese Communist Party (CCP) Central Committee (December 2022 – December 2026). Deputy of the 14th National People’s Congress (NPC, February 2023 – February 2027).; Former Party Secretary of the Xinjiang Production and Construction Corps (XPCC) and Deputy Secretary of the Party Committee of China’s Xinjiang Uyghur Autonomous Region (XUAR) from April 2020 to October 2021, as well as Political commissar of the XPCC from May 2020 to October 2021. Former Secretary of the Political and Legal Affairs Committee of the XUAR, from February 2019 to September 2020. Wang Junzheng also held other senior posts in the XPCC.; The XPCC is a state-owned economic and paramilitary organisation in the XUAR, which exercises administrative authority and controls economic activities in Xinjiang.; As Party Secretary and Political commissar of the XPCC, Wang Junzheng was involved in overseeing all policies implemented by the XPCC. In that position, he was responsible for serious human rights violations in China, in particular large-scale arbitrary detentions and degrading treatment inflicted upon Uyghurs and people from other Muslim ethnic minorities, as well as systematic violations of their freedom of religion or belief, linked, inter alia, to the XPCC’s implementation of a large-scale surveillance, detention and indoctrination programme targeting Uyghurs and people from other Muslim ethnic minorities.; He was also responsible for the XPCC’s systematic use of Uyghurs and people from other Muslim ethnic minorities as a forced workforce, in particular in cotton fields.; As Deputy Secretary of the Party Committee of the XUAR, Wang Junzheng was involved in overseeing all the security policies implemented in Xinjiang, including the aforementioned programme targeting Uyghurs and people from other Muslim ethnic minorities. As Secretary of the Political and Legal Affairs Committee of the XUAR from February 2019 to September 2020, Wang Junzheng was responsible for maintaining internal security and law enforcement in the XUAR. As such, he held a key political position in charge of overseeing and implementing the aforementioned programme.",,,,22-03-2021,COUNCIL_REGULATION_EU_2020_1998_7_December_2020,02020R1998-20241204,http://data.europa.eu/eli/reg/2020/1998/2024-12-04,Human_rights,Chinese
WANG Mingshan,male,"Deputy Director (since February 2024) and former member of the Standing Committee of the Party Committee of the Xinjiang Uyghur Autonomous Region (XUAR). Deputy of the 14th National People’s Congress (NPC, February 2023 – February 2027).; Former Director and Deputy Party Secretary of the Xinjiang Public Security Bureau (XPSB) between 2017 and January 2021.; As Deputy Director and former Secretary of the Political and Legal Affairs Committee of the XUAR (September 2020 – February 2024), Wang Mingshan is responsible for maintaining internal security and law enforcement in the XUAR. As such, he holds a key political position in charge of overseeing a large-scale surveillance, detention and indoctrination programme targeting Uyghurs and people from other Muslim ethnic minorities.; As Former Director and Deputy Party Secretary of the XPSB (2017 to January 2021), he held a key position in Xinjiang’s security apparatus and was directly responsible for implementing the aforementioned programme. In particular, the XPSB has deployed the “Integrated Joint Operations Platform” (IJOP), a big data programme used to track millions of Uyghurs in the Xinjiang region and flag those deemed “potentially threatening” to be sent to detention camps.; In his current position and due to his former functions, Wang Mingshan is responsible for serious human rights violations in China, in particular large-scale arbitrary detentions and degrading treatment inflicted upon Uyghurs and people from other Muslim ethnic minorities, as well as systematic violations of their freedom of religion or belief.",,,,22-03-2021,COUNCIL_REGULATION_EU_2020_1998_7_December_2020,02020R1998-20241204,http://data.europa.eu/eli/reg/2020/1998/2024-12-04,Human_rights,Chinese
CHEN Mingguo,male,"Secretary of Political and Legal Affairs Commission of the Xinjiang Uygur Autonomous Region (XUAR) and Member of the CCP Standing Committee of the XUAR since February 2024.; Former Director of the Xinjiang Public Security Bureau (XPSB) since January 2021 and Vice-Chairman of the Xinjiang Uygur Autonomous Region (XUAR) People’s Government.; As Secretary of Political and Legal Affairs Commission of the Xinjiang Uygur Autonomous Region (XUAR), Member of the CCP Standing Committee of the XUAR and former Director of the XPSB, Chen Mingguo holds a key position in Xinjiang’s security apparatus and is directly involved in implementing a large-scale surveillance, detention and indoctrination programme targeting Uyghurs and people from other Muslim ethnic minorities. In particular, the XPSB has deployed the “Integrated Joint Operations Platform” (IJOP), a big data programme used to track millions of Uyghurs in the Xinjiang region and flag those deemed “potentially threatening” to be sent to detention camps. Chen Mingguo is therefore responsible for serious human rights violations in China, in particular arbitrary detentions and degrading treatment inflicted upon Uyghurs and people from other Muslim ethnic minorities, as well as systematic violations of their freedom of religion or belief.",,,,22-03-2021,COUNCIL_REGULATION_EU_2020_1998_7_December_2020,02020R1998-20241204,http://data.europa.eu/eli/reg/2020/1998/2024-12-04,Human_rights,Chinese
JONG Kyong-thaek (a.k.a. CHO’NG Kyo’ng-t’aek),male,"Jong Kyong-thaek is the Director of the General Political Bureau of the Korean People’s Army. He was the Minister of State Security of the Democratic People’s Republic of Korea (DPRK) from 2017 until 2022. The Ministry of State Security of the DPRK is one of the leading institutions in charge of implementing the repressive security policies of the DPRK, with a focus on identifying and suppressing political dissent, the inflow of ‘subversive’ information from abroad, and any other conduct considered a serious political threat to the political system and its leadership. As former Head of the Ministry of State Security, Jong Kyong-thaek is responsible for serious human rights violations in the DPRK, in particular torture and other cruel, inhuman or degrading treatment or punishment, extrajudicial, summary or arbitrary executions and killings, enforced disappearance of persons, and arbitrary arrests or detentions, as well as widespread forced labour and sexual violence against women.",,,,22-03-2021,COUNCIL_REGULATION_EU_2020_1998_7_December_2020,02020R1998-20241204,http://data.europa.eu/eli/reg/2020/1998/2024-12-04,Human_rights,Democratic People’s Republic of Korea (DPRK)
RI Yong Gil,male,"Ri Yong Gil is the Chief of the General Staff of the Korean People’s Army (KPA). He was Minister of National Defence of the Democratic People’s Republic of Korea (DPRK) from June or July 2021 until December 2022. He was Minister of Social Security from January 2021 until June or July 2021. He was also Chief of the General Staff of the KPA between 2018 and January 2021. He was promoted to Vice Marshal of the KPA on 14 April 2022.; As Chief of the General Staff of the KPA and as former Minister of National Defence, Ri Yong Gil is responsible for the widespread serious human rights violations committed by the KPA, including by members of the Military Security Command and other KPA units.; The Ministry of Social Security of the DPRK (formerly known as the Ministry of People’s Security or Ministry of Public Security) and the Military Security Command are leading institutions in charge of implementing the repressive security policies of the DPRK, including interrogation and punishment of people ‘illegally’ fleeing the DPRK. In particular, the Ministry of Social Security is in charge of running prison camps and short-term labour detention centres through its Correctional Bureau in which prisoners/detainees are subject to deliberate starvation and other inhuman and degrading treatment.; As former Head of the Ministry of Social Security, Ri Yong Gil is responsible for serious human rights violations in the DPRK, in particular torture and other cruel, inhuman or degrading treatment or punishment, extrajudicial, summary or arbitrary executions and killings, enforced disappearance of persons, and arbitrary arrests or detentions, as well as widespread forced labour and sexual violence against women.",,,,22-03-2021,COUNCIL_REGULATION_EU_2020_1998_7_December_2020,02020R1998-20241204,http://data.europa.eu/eli/reg/2020/1998/2024-12-04,Human_rights,Democratic People’s Republic of Korea (DPRK)
