Name,Gender,Reason,Dates
AHMADI-MOQADDAM Esmail,male,Director of the University and the Higher National Defence Research Institute since 20 September 2021. Former Senior Advisor for Security Affairs to the Chief of the Armed Forces General Staff. Chief of Iran’s National Police from 2005 until early 2015. Also Head of the Iranian Cyber Police (EU-listed) from January 2011 until early 2015. Forces under his command led brutal attacks on peaceful protests and a violent night-time attack on the dormitories of Tehran University on 15 June 2009. Former head of Iran’s Headquarters in support of the Yemeni People.,12-04-2011
ALLAHKARAM Hossein,male,"Head of Ansar-e Hezbollah Coordination Council and former general in the IRGC. He co-founded Ansar-e Hezbollah. This paramilitary force was responsible for extreme violence during crackdown against students and universities in 1999, 2002 and 2009.; He maintains his senior role in an organisation which is ready to commit human rights violations against the public, including promoting aggression against women for their choice of clothing.",12-04-2011
ARAGHI (ERAGHI) Abdollah,male,Brigadier-General in the IRGC. Head of the Security Department of the General Staff of the Armed Forces. Former Deputy Head of IRGC’s Ground Forces. He had a direct and personal responsibility in the crackdown of protests all through the summer of 2009.,12-04-2011
FAZLI Ali,male,"Since May 2017, Commander of Imam Hossein University by order of the Islamic Revolutionary Guard Corps (IRGC) Chief Commander. Former Chief of the Imam Hossein Cadet College (2018-June 2020). Former Deputy Commander of the Basij (2009-2018). Former Head of the IRGC’s Seyyed al-Shohada Corps, Tehran province (until February 2010). The Seyyed al-Shohada Corps is in charge of security in Tehran province and played a key role in the brutal repression of protesters in 2009.",12-04-2011
JAFARI Mohammad-Ali (a.k.a. ‘Aziz Jafari’),male,"Director of the Hazrat-e Baqiatollah Social and Cultural Base. Former Commander of the IRGC (September 2007 - April 2019). IRGC and the Sarollah Base commanded by General Mohammad-Ali (Aziz) Jafari have played a key role in illegally interfering with the 2009 Presidential Elections, arresting and detaining political activists, as well as clashing with protestors in the streets.",12-04-2011
KHALILI Ali,male,"IRGC General, in a senior role within the Sarollah Base. He signed a letter sent to the Ministry of Health June 26, 2009 forbidding the submission of documents or medical records to anyone injured or hospitalized during post-elections events.",12-04-2011
MOTLAGH Bahram Hosseini,male,"Member of the teaching staff of Imam Hossein University (Guardians of the Revolution) and Head of the planning and operations department of the General Staff of the Armed Forces. Former Head of the Army Command and General Staff College (DAFOOS). Former Head of the Seyyed al-Shohada Corps of the Islamic Revolutionary Guard Corps, Tehran province. The Seyyed al-Shohada Corps played a key role in organising the repression of protests in 2009.",12-04-2011
NAQDI Mohammad-Reza,male,"Deputy Coordinator of the Islamic Revolutionary Guard Corps (IRGC). Former Deputy Chief of the IRGC for cultural and social affairs. Former Commander of the Basij (2009-2016). As commander of the IRGC’s Basij Forces, Naqdi was responsible for or complicit in Basij abuses occurring in late 2009, including the violent response to the December 2009 Ashura Day protests, which resulted in up to 15 deaths and the arrests of hundreds of protesters. Prior to his appointment as commander of the Basij in October 2009, Naqdi was the head of the intelligence unit of the Basij responsible for interrogating those arrested during the post-election crackdown.",12-04-2011
RADAN Ahmad-Reza,male,"Since January 2023, Head of Iran’s Law Enforcement Forces (LEF), also referred to as the Iranian national police. Former Head of the Centre for Strategic Studies of the Iranian LEF, a body linked to the LEF. Deputy Chief of the LEF from 2008 until June 2014. In that position, Radan was responsible for beatings, murder, and arbitrary arrests and detentions of protestors that were committed by the police forces. As a former Commander of the Islamic Revolutionary Guard Corps, he was in charge of training Iraqi ‘anti-terrorist’ forces.",12-04-2011
RAJABZADEH Azizollah,male,"Commander of the Urban Order Headquarters since 2014. Former Head of Tehran Disaster Mitigation Organisation (2010-2013). As Head of Tehran Police until January 2010, he was responsible for violent police attacks on protesters and students. As Commander of the Law Enforcement Forces in the Greater Tehran, he was the highest ranking accused in the case of abuses in Kahrizak Detention Centre in December 2009.",12-04-2011
