Name,Gender,Reason,Activity_based,Profit_based,Status_based,Family_member_sanctions,Dates,Doc_title,Doc_number,Doc_url,Case_Study,Nationality
Ilan Mironovich SHOR,male,"Ilan Shor is a Moldovan politician (leader of the ȘOR Political Party) and businessman from the Republic of Moldova who is involved in the illegal financing of political parties in the Republic of Moldova and in incitement to violence against the political opposition. Before being declared unconstitutional in June 2023, the ȘOR Party, which Ilan Shor leads, was involved in the payment and training of persons in order to provoke disorder and unrest during the protests in the Republic of Moldova.; By a decision dated 13 April 2023, the Court of Appeal of Chisinau sentenced Ilan Shor for being guilty of fraud and money laundering in the ‘Bank Fraud’ case to 15 years of imprisonment and the confiscation of assets for a value of EUR 254 million. Funds from this large-scale banking fraud and connections to corrupt oligarchs and Moscow-based entities have been and are still being used, according to authorities of the Republic of Moldova, to artificially create political unrest in the country.; His actions directed towards subverting democracy in the Republic of Moldova include providing illegal funding to support pro-Kremlin political activity in the Republic of Moldova. An example of the use of such funds is the organisation of violent protests and rallies, primarily in the capital Chisinau, with the help of protestors paid by the ȘOR Party, throughout 2022 and 2023. After the ȘOR Party was declared unconstitutional, Ilan Shor continued to facilitate Russian influence on the political scene of the Republic of Moldova by illegally financing other parties and attempting to bribe politicians.; By directing and planning violent demonstrations and through his serious financial misconduct concerning public funds and the unauthorised export of capital, Ilan Shor is responsible for actions which undermine and threaten the sovereignty and independence of the Republic of Moldova, and the democracy, the rule of law, stability and security in the Republic of Moldova.",,,,,30-05-2023,COUNCIL_REGULATION_EU_2023_888_28_April_2023,02023R0888-20241014,http://data.europa.eu/eli/reg/2023/888/2024-10-14,Moldova,"Republic of Moldova, Israeli"
Gheorghe Petru CAVCALIUC,male,"Gheorghe Petru Cavcaliuc is the former Deputy Head of the General Police Inspectorate of the Republic of Moldova. He is known for having organised and participated in the violent protests of October 2022, alongside Ilan Shor. He has used his connections within the General Police Inspectorate to recruit former police officers and create a paramilitary group to ‘protect’ the violent demonstrators against the Government of the Republic of Moldova. In this context, he has founded a so-called ‘shadow government’ with the aim of replacing the democratically elected government of the Republic of Moldova.; By directing and planning violent demonstrations, Gheorghe Cavcaliuc is responsible for actions which undermine and threaten the sovereignty and independence of the Republic of Moldova, and the democracy, the rule of law, stability and security in the Republic of Moldova.",,,,,30-05-2023,COUNCIL_REGULATION_EU_2023_888_28_April_2023,02023R0888-20241014,http://data.europa.eu/eli/reg/2023/888/2024-10-14,Moldova,"Republic of Moldova, Romanian"
Marina TAUBER,female,"Marina Tauber is the deputy leader of the ȘOR Party and a Member of the Parliament of the Republic of Moldova. She was charged in the ‘Bank Fraud’ case and she is subject to investigation in two criminal cases in the Republic of Moldova related to the illegal financing from an organised criminal group and the falsification of the report on the financial management of the ȘOR Party.; On 20 December 2022, prosecutors conducted several searches in connection with the case of the illegal financing of Ilan Shor’s party. The authorities of the Republic of Moldova then identified money which, according to the prosecutors, was to be used for organising anti-government protests and remunerating the participants in those demonstrations.; In 2023, knives, flammable substances and daggers were seized following protests organised by the People’s Movement, which the ȘOR Party is part of. Violence and altercations between the police and demonstrators were registered, where 54 people were detained, including minors. According to the General Police Inspectorate of the Republic of Moldova, Marina Tauber was among the main organisers of the protests of the ȘOR Party and the People’s Movement.; According to the Anticorruption Prosecutor’s Office of the Republic of Moldova, she used special communication instruments in order to give direct instructions to the presidents and vice-presidents of the territorial offices of the ȘOR Party in the country on how to bring people to the demonstrations, organise transport and how to receive the money for the remuneration of the people.; By directing and planning violent demonstrations and through her serious financial misconduct concerning public funds and the unauthorised export of capital, Marina Tauber is responsible for actions which undermine and threaten the sovereignty and independence of the Republic of Moldova, and the democracy, the rule of law, stability and security in the Republic of Moldova.",1,0,0,0,30-05-2023,COUNCIL_REGULATION_EU_2023_888_28_April_2023,02023R0888-20241014,http://data.europa.eu/eli/reg/2023/888/2024-10-14,Moldova,Moldovan
Igor Yuryevich CHAIKA,male,"Igor Chaika is a Russian businessman responsible for funnelling money in support of the Russian Federal Security Service (FSB) projects aimed at destabilising the Republic of Moldova. He played the role of Russian ‘purse’, channelling money to FSB assets in the Republic of Moldova in order to bring the country under the control of the Kremlin.; Through his serious financial misconduct concerning public funds, Igor Chaika is responsible for supporting actions which undermine and threaten the sovereignty and independence of the Republic of Moldova, and the democracy, the rule of law, stability and security in the Republic of Moldova.",,,,,30-05-2023,COUNCIL_REGULATION_EU_2023_888_28_April_2023,02023R0888-20241014,http://data.europa.eu/eli/reg/2023/888/2024-10-14,Moldova,Russian
Vladimir Gheorghe PLAHOTNIUC,male,"Vladimir Plahotniuc is subject to numerous criminal proceedings in the Republic of Moldova related to crimes in connection with the embezzlement of State funds of the Republic of Moldova and their illegal transfer outside the Republic of Moldova. He was accused in the Republic of Moldova in the ‘Bank Fraud’ case, the economic effects of which are still affecting the country. He is also being investigated for bribing the former president of the Republic of Moldova with a bag of cash in exchange for political favours.; Through his serious financial misconduct concerning public funds and the unauthorised export of capital and undermining the democratic political process in the Republic of Moldova, Vladimir Plahotniuc is responsible for actions and implementing policies which undermine and threaten democracy, the rule of law, stability or security in the Republic of Moldova.",,,,,30-05-2023,COUNCIL_REGULATION_EU_2023_888_28_April_2023,02023R0888-20241014,http://data.europa.eu/eli/reg/2023/888/2024-10-14,Moldova,"Republic of Moldova, Romanian, Russian"
Chiril GUZUN,male,"Chiril Guzun is the founder and current leader of the ‘Scutul Poporului’, a paramilitary organisation in the Republic of Moldova, including former military, police and law-enforcement personnel, which uses violence while attending protests, particularly to destabilise the Republic of Moldova. During the attempts of February 2023 to destabilise the national government, groups of protesters affiliated to the subsequently-banned ‘Partidul ȘOR’ and to the Building Europe at Home Party, ‘Partidul Acasă Construim Europa’ (PACE) were supported and surrounded by members of the ‘Scutul Poporului’, who were involved in riots and violent demonstrations.; Chiril Guzun is also a long-time acquaintance of Gheorghe Cavcaliuc, a listed person and the leader of the ‘PACE’ party. Cavcaliuc admitted to coordinating with Chiril Guzun’s organisation regarding the violent protests. In addition, Natalia Guzun, the wife of Chiril Guzun, is vice-president of the ‘PACE’ party.; In the role of ‘Scutul Poporului’ leader, by directing, engaging in and supporting violent demonstrations, Chiril Guzun is responsible for actions which undermine and threaten the rule of law, stability and security in the Republic of Moldova. Furthermore, Chiril Guzun is associated with Gheorghe Cavcaliuc and ‘Scutul Poporului’.",,,,,22-02-2024,COUNCIL_REGULATION_EU_2023_888_28_April_2023,02023R0888-20241014,http://data.europa.eu/eli/reg/2023/888/2024-10-14,Moldova,"Republic of Moldova, Romanian"
Dmitry MILYUTIN,male,"Dmitry Milyutin is the Deputy Head of the Russian Federal Security Service (FSB)’s Department of Operational Intelligence, responsible for Russia’s covert operations in the Republic of Moldova since 2016, especially in the Transnistria region, destabilising the constitutional order. Through his operatives, Milyutin directs, coordinates and manipulates chosen political actors in the Republic of Moldova in order to pursue pro-Russian agendas, thus undermining the democratic political process in the Republic of Moldova. Furthermore, Milyutin’s group is involved in organising violent protests and other acts of violence taking place in the Republic of Moldova.; By seriously undermining the democratic political process, attempting to destabilise the constitutional order, and by facilitating violent demonstrations and other acts of violence, Dmitry Milyutin is supporting actions which undermine and threaten the sovereignty and independence, democracy, rule of law, stability and security of the Republic of Moldova. He is also associated with the listed person Igor Chaika.",,,,,22-02-2024,COUNCIL_REGULATION_EU_2023_888_28_April_2023,02023R0888-20241014,http://data.europa.eu/eli/reg/2023/888/2024-10-14,Moldova,Russian
Arina Evgheni CORȘICOVA,female,"Arina Corșicova leads several communications media trusts in the Republic of Moldova, one of which owns two television channels, ‘ACCENT TV’ and ‘PRIMUL ÎN MOLDOVA’, the broadcasting licences of which were suspended by the Republic of Moldova, for disseminating incorrect information concerning the Russian war of aggression against Ukraine and current political events in the Republic of Moldova. Despite losing its television broadcasting licence, ‘Primul în Moldova’ continues to disseminate false statements aimed at destabilising the constitutional order of the Republic of Moldova.; In this context, Arina Corșicova is also undermining the democratic political process in the Republic of Moldova by leading a disinformation campaign and by being politically backed by listed person Ilan Shor.; Furthermore, she is a long-time associate of Ilan Shor, having funded his electoral campaigns in the past and being an indirect shareholder of the ‘Banca Socială’, involved in the ‘Bank Fraud’ case.; By undermining the democratic political process and destabilising the constitutional order Arina Corșicova is supporting actions and policies which undermine and threaten democracy, the rule of law, and stability in the Republic of Moldova. Furthermore, she is associated with Ilan Shor.",1,0,0,0,22-02-2024,COUNCIL_REGULATION_EU_2023_888_28_April_2023,02023R0888-20241014,http://data.europa.eu/eli/reg/2023/888/2024-10-14,Moldova,Republic of Moldova
Dumitru CHITOROAGĂ,male,"Dumitru Chitoroagă is the administrator of a media trust which owns several media communication channels in the Republic of Moldova, channels of which he is also the director. Those media communication channels frequently promote messages aimed at obstructing and undermining the democratic political process through evidently false claims regarding the government of the Republic of Moldova. Moreover, they express manifest support for listed person Ilan Shor and his political party ‘SHOR’ (‘ȘOR’). Some of those channels were owned or founded by Ilan Shor through intermediaries.; The Republic of Moldova has legally suspended the broadcasting licences of several media channels, including those of ‘TV6’ and ‘ORHEI TV’, which are under the administration of Dumitru Chitoroagă, for disseminating incorrect information regarding current political events in the Republic of Moldova.; Therefore, by obstructing and undermining the democratic political process, Dumitru Chitoroagă is responsible for actions which undermine and threaten democracy, the rule of law, stability and security in the Republic of Moldova. Furthermore, he is associated with Ilan Shor.",,,,,22-02-2024,COUNCIL_REGULATION_EU_2023_888_28_April_2023,02023R0888-20241014,http://data.europa.eu/eli/reg/2023/888/2024-10-14,Moldova,Republic of Moldova
Maria ALBOT,female,"Maria Albot is a long-time trusted associate of listed person Ilan Shor. She currently has a leading role in one of his foundations, the ‘Miron Shor’ Foundation, and she is involved in the ‘Bank Fraud’ case that affected the financial stability of the Republic of Moldova. Previously, she held positions in other companies or foundations owned by or associated with Ilan Shor. Therefore, she is associated with Ilan Shor.",1,0,0,0,22-02-2024,COUNCIL_REGULATION_EU_2023_888_28_April_2023,02023R0888-20241014,http://data.europa.eu/eli/reg/2023/888/2024-10-14,Moldova,Republic of Moldova
