Name,Gender,Reason,Activity_based,Profit_based,Family_member_sanctions,Dates,Doc_title,Doc_number,Doc_url,Case_Study,Nationality
Aung Kyaw Zaw,male,"Lieutenant General Aung Kyaw Zaw was the Commander of the Bureau of Special Operations No 3 of the Myanmar Armed Forces (Tatmadaw) from August 2015 to the end of 2017. The Bureau of Special Operations No 3 oversaw the Western Command and, in that context, Lieutenant General Aung Kyaw Zaw is responsible for the atrocities and serious human rights violations committed against the Rohingya population in Rakhine State by the Western Command during that period. These include unlawful killings, sexual violence and the systematic burning of Rohingya houses and buildings.",,,,25-06-2018,COUNCIL_REGULATION_EU_No_401_2013_2_May_2013,02013R0401-20241029,http://data.europa.eu/eli/reg/2013/401/2024-10-29,Myanmar,unknown
Maung Maung Soe,male,"Major General Maung Maung Soe was the Commander of the Western Command of the Myanmar Armed Forces (Tatmadaw) from October 2016 to 10 November 2017 and oversaw the military operations in Rakhine State. In that context, he is responsible for the atrocities and serious human rights violations committed against Rohingya population in Rakhine State by the Western Command during that period. These include unlawful killings, sexual violence and systematic burning of Rohingya houses and buildings.",,,,25-06-2018,COUNCIL_REGULATION_EU_No_401_2013_2_May_2013,02013R0401-20241029,http://data.europa.eu/eli/reg/2013/401/2024-10-29,Myanmar,unknown
Than Oo,male,"Brigadier General Than Oo was the Commander of the 99th Light Infantry Division of the Myanmar Armed Forces (Tatmadaw) until May 2018. In that context, he is responsible for the atrocities and serious human rights violations committed against the Rohingya population in Rakhine State in the second half of 2017 by the 99th Light Infantry Division. These include unlawful killings, sexual violence and the systematic burning of Rohingya houses and buildings.",,,,25-06-2018,COUNCIL_REGULATION_EU_No_401_2013_2_May_2013,02013R0401-20241029,http://data.europa.eu/eli/reg/2013/401/2024-10-29,Myanmar,unknown
Aung Aung,male,"Lieutenant General Aung Aung has been the Commander of the Bureau of Special Operations 2 since October 2022. He is the former Commander of the South Western Command of the Myanmar Armed Forces (Tatmadaw) and the former Commander of the 33rd Light Infantry Division of the Myanmar Armed Forces (Tatmadaw). In that context, he is responsible for the atrocities and serious human rights violations committed against the Rohingya population in Rakhine State in the second half of 2017 by the 33rd Light Infantry Division. Those include unlawful killings, sexual violence and the systematic burning of Rohingya houses and buildings.",,,,25-06-2018,COUNCIL_REGULATION_EU_No_401_2013_2_May_2013,02013R0401-20241029,http://data.europa.eu/eli/reg/2013/401/2024-10-29,Myanmar,unknown
Khin Maung Soe,male,"Brigadier General Khin Maung Soe is the Commander of the Military Operation Command 15, also sometimes known as the 15th Light Infantry Division, of the Myanmar Armed Forces (Tatmadaw), under which Infantry Battalion No 564 falls. In that context, he is responsible for the atrocities and serious human rights violations committed against the Rohingya population in Rakhine State in the second half of 2017 by the Military Operation Command 15, in particular by Infantry Battalion No 564. These include unlawful killings, sexual violence and the systematic burning of Rohingya houses and buildings.",,,,25-06-2018,COUNCIL_REGULATION_EU_No_401_2013_2_May_2013,02013R0401-20241029,http://data.europa.eu/eli/reg/2013/401/2024-10-29,Myanmar,unknown
Thura San Lwin,male,"Brigadier General Thura San Lwin was the Commander of the Border Guard Police from October 2016 until early October 2017. In that context, he is responsible for the atrocities and serious human rights violations committed against Rohingya population in Rakhine State by the Border Guard Police during that period. These include unlawful killings and systematic burning of Rohingya houses and buildings.",,,,25-06-2018,COUNCIL_REGULATION_EU_No_401_2013_2_May_2013,02013R0401-20241029,http://data.europa.eu/eli/reg/2013/401/2024-10-29,Myanmar,unknown
Thant Zin Oo,male,"Thant Zin Oo was the Commander of the 8th Security Police Battalion. In that context, he is responsible for the atrocities and serious human rights violations committed against the Rohingya population in Rakhine State in the second half of 2017 by the 8th Security Police Battalion. The serious human rights violations include unlawful killings and systematic burning of Rohingya houses and buildings. Those violations were conducted in conjunction with and in direct support of the 33rd Light Infantry Division of the Myanmar Armed Forces (Tatmadaw) led by Lieutenant (formerly Brigadier) General Aung Aung. Thant Zin Oo is therefore associated with listed person, Lieutenant General Aung Aung.",,,,25-06-2018,COUNCIL_REGULATION_EU_No_401_2013_2_May_2013,02013R0401-20241029,http://data.europa.eu/eli/reg/2013/401/2024-10-29,Myanmar,unknown
Ba Kyaw,male,"Ba Kyaw is a Staff Sergeant in the 564th Light Infantry Battalion (LIB) of the Myanmar Armed Forces (Tatmadaw). He committed atrocities and serious human rights violations, including murder, deportation and torture, against the Rohingya population in Rakhine State in the second half of 2017. In particular, he has been identified as one of the key perpetrators of the Maung Nu massacre on 27 August 2017.",,,,21-12-2018,COUNCIL_REGULATION_EU_No_401_2013_2_May_2013,02013R0401-20241029,http://data.europa.eu/eli/reg/2013/401/2024-10-29,Myanmar,unknown
Tun Naing,male,"Tun Naing is the Commanding Officer of the Border Guard Police (BGP) base in Taung Bazar. In that capacity, he is responsible for the atrocities and serious human rights violations against the Rohingya population in Rakhine State committed by the BGP in Taung Bazar before, around and after 25 August 2017, including forced detention, ill-treatment and torture.",,,,21-12-2018,COUNCIL_REGULATION_EU_No_401_2013_2_May_2013,02013R0401-20241029,http://data.europa.eu/eli/reg/2013/401/2024-10-29,Myanmar,unknown
Khin Hlaing,male,"Lieutenant General Khin Hlaing has been the Commander of the Bureau of Special Operations 4 since October 2022. He is the former Triangle Region Commander of the Myanmar Armed Forces (Tatmadaw). He is the former Commander of the 99th Light Infantry Division (LID) and he was the Commander of the North-eastern Command of the Myanmar Armed Forces (Tatmadaw). As the Commander of the 99th LID he oversaw military operations carried out in Shan State in 2016 and early 2017. In that context, he is responsible for the atrocities and serious human rights violations committed against ethnic minority villagers in Shan State in the second half of 2016 by the 99th LID. Those include unlawful killings, forced detention and destruction of villages.",,,,21-12-2018,COUNCIL_REGULATION_EU_No_401_2013_2_May_2013,02013R0401-20241029,http://data.europa.eu/eli/reg/2013/401/2024-10-29,Myanmar,unknown
