Name,Gender,Reason,Dates,Doc_title,Doc_number,Doc_url,Nationality
Nikolai Pavlovich DUBOVIK,male,"Nikolai Pavlovich Dubovik is a judge of the Supreme Court of the Russian Federation. In his position, he refused to consider Alexei Navalny’s cassation appeal against the verdict in the ‘slander of a veteran’ trial. As a result, he politically discredited Alexei Navalny before the 2020 constitutional referendum in Russia.; Therefore, Nikolai Pavlovich Dubovik is responsible for serious human rights violations in Russia by violating freedom of opinion and expression.",27-05-2024,COUNCIL_REGULATION _EU_ 2024_1485_27_May_2024,02024R1485-20240913,http://data.europa.eu/eli/reg/2024/1485/2024-09-13,russia
Eduard Borisovich ERDYNIEV,male,"Eduard Borisovich Erdyniev is a judge of the Supreme Court of the Russian Federation. In his position, he refused to consider Alexei Navalny’s cassation appeal against the decision to replace the probation sentence with a fully-fledged sentence. Consequently, Alexei Navalny was pronounced guilty and, years later, was imprisoned in a high-security penal colony in order to prevent him from engaging in political activity.; Therefore, Eduard Borisovich Erdyniev is responsible for serious human rights violations in Russia by violating freedom of opinion and expression.",27-05-2024,COUNCIL_REGULATION _EU_ 2024_1485_27_May_2024,02024R1485-20240913,http://data.europa.eu/eli/reg/2024/1485/2024-09-13,russia
Andrey Vladimirovich FEDOROV,male,"Andrey Vladimirovich Fedorov is a Russian judge working in the Kirovsky District Court, city of Tomsk. In his position, he rejected the complaint about the inaction of the officials of the Investigative Committee of the Russian Federation of the Tomsk Oblast regarding the poisoning of Alexei Navalny. His decision resulted in the imprisonment of Alexei Navalny.; Therefore, Andrey Vladimirovich Fedorov is responsible for activities which seriously undermine the rule of law in Russia.",27-05-2024,COUNCIL_REGULATION _EU_ 2024_1485_27_May_2024,02024R1485-20240913,http://data.europa.eu/eli/reg/2024/1485/2024-09-13,russia
Ekaterina Vasilevna FEDOTOVA (NAUMOVA),female,"Ekaterina Vasilevna Fedotova (Naumova) works in the Representation of the Ministry of Internal Affairs of Russia for the city of Khimki, Moscow Oblast. In her position, she took part in the court meeting of 18 January 2021, organised at a police station, and demanded the extension of the illegal detention of Alexei Navalny by 30 days.; Therefore, Ekaterina Vasilevna Fedotova (Naumova) is responsible for serious human rights violations in Russia by violating freedom of opinion and expression.",27-05-2024,COUNCIL_REGULATION _EU_ 2024_1485_27_May_2024,02024R1485-20240913,http://data.europa.eu/eli/reg/2024/1485/2024-09-13,russia
Inna Alexandrovna FESENKO,female,"Inna Alexandrovna Fesenko is a Russian judge working in the Kirovsky District Court, city of Tomsk. In her position, she twice rejected complaints about the inaction of the Tomsk transport police regarding the poisoning of Alexei Navalny. Furthermore, she imposed a ban on certain actions on Ksenia Fadeeva, the former head of Navalny’s organisation headquarters in Tomsk.; Therefore, Inna Alexandrovna Fesenko is responsible for activities which seriously undermine the rule of law in Russia.",27-05-2024,COUNCIL_REGULATION _EU_ 2024_1485_27_May_2024,02024R1485-20240913,http://data.europa.eu/eli/reg/2024/1485/2024-09-13,russia
Ekaterina Viktorovna GALYAUTDINOVA,female,"Ekaterina Viktorovna Galyautdinova is a Russian judge working in the Kirovsky District Court, city of Tomsk. In her position, she twice rejected complaints about the inaction of the Tomsk Transport Police regarding the investigation into the poisoning of Alexei Navalny.; Therefore, Ekaterina Viktorovna Galyautdinova is responsible for activities which seriously undermine the rule of law in Russia.",27-05-2024,COUNCIL_REGULATION _EU_ 2024_1485_27_May_2024,02024R1485-20240913,http://data.europa.eu/eli/reg/2024/1485/2024-09-13,russia
Dmitry Evgenevich PANKRATOV,male,"Dmitry Evgenevich Pankratov is a Senior Investigator of the Main Military Investigation Department of the Investigative Committee of the Russian Federation. In his position, he refused to initiate an investigation into the attempted murder of Alexei Navalny following Navalny’s was poisoning with the nerve agent Novichok.; Therefore, Dmitry Evgenevich Pankratov is responsible for activities which seriously undermine the rule of law in Russia.",27-05-2024,COUNCIL_REGULATION _EU_ 2024_1485_27_May_2024,02024R1485-20240913,http://data.europa.eu/eli/reg/2024/1485/2024-09-13,russia
Evgeniy Borisovich RASTORGUEV,male,"Evgeniy Borisovich Rastorguev is a judge of the 9th Arbitration Court of Appeal, Russia. In his position, he upheld the claim of the ‘Druzhba Narodov’ company against Alexei Navalny. Alexei Navalny had claimed, in his investigation, that the company is engaged in a corruption scheme with the Russian National Guard (Rosgvardia).; Therefore, Evgeniy Borisovich Rastorguev is responsible for serious human rights violations in Russia by violating freedom of opinion and expression, and for activities which seriously undermine the rule of law in Russia.",27-05-2024,COUNCIL_REGULATION _EU_ 2024_1485_27_May_2024,02024R1485-20240913,http://data.europa.eu/eli/reg/2024/1485/2024-09-13,russia
Alexander Sergeevich ERMOLENKO,male,"Alexander Sergeevich Ermolenko is the Head of branch No 15 of the federal governmental institution ‘Criminal Executive Inspectorate of the Directorate of the Federal Penitentiary Service in the City of Moscow’. In his position, he supported the transformation of Alexei Navalny’s suspended sentence into a custodial sentence during the court hearing in the Yves Rocher case.; Therefore, Alexander Sergeevich Ermolenko is responsible for serious human rights violations in Russia by violating freedom of opinion and expression.",27-05-2024,COUNCIL_REGULATION _EU_ 2024_1485_27_May_2024,02024R1485-20240913,http://data.europa.eu/eli/reg/2024/1485/2024-09-13,russia
Irina Geroldovna KIM,female,"Irina Geroldovna Kim is a judge of the Kovrov City Court of Vladimir Oblast.; As from 2022, she was directly involved in creating and maintaining torturous conditions for Alexei Navalny through repeatedly rejecting Alexei Navalny’s claims against the IK-6 penal colony regarding his treatment, where he was serving a sentence imposed as a result of politically motivated prosecution.; Therefore, Irina Geroldovna Kim is responsible for serious human rights violations in Russia, including torture and other cruel, inhuman or degrading treatment or punishment, arbitrary detentions, and the systematic violation of freedom of opinion and expression.",27-05-2024,COUNCIL_REGULATION _EU_ 2024_1485_27_May_2024,02024R1485-20240913,http://data.europa.eu/eli/reg/2024/1485/2024-09-13,russia
Kirill Sergeevich NIKIFOROV,male,"Kirill Sergeevich Nikiforov is a judge of the Kovrov City Court of Vladimir Oblast.; As from 2022, he was directly involved in creating and maintaining torturous conditions for Alexei Navalny through repeatedly rejecting Alexei Navalny’s claims against the IK-6 penal colony regarding his treatment, where he was serving a 12-year sentence imposed as a result of politically motivated prosecution.; Therefore, Kirill Sergeevich Nikiforov is responsible for serious human rights violations in Russia, including torture and other cruel, inhuman or degrading treatment or punishment, arbitrary detentions, and the systematic violation of freedom of opinion and expression.",27-05-2024,COUNCIL_REGULATION _EU_ 2024_1485_27_May_2024,02024R1485-20240913,http://data.europa.eu/eli/reg/2024/1485/2024-09-13,russia
