Name,Gender,Reason,Dates,Doc_title,Doc_number,Doc_url,Nationality
Bashar  AL‐ASSAD,male,President of the Republic; person authorising and supervising the crackdown on demonstrators.,23-05-2011,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Maher  (a.k.a. Mahir) AL‐ASSAD,male,Member of the Syria Armed Forces of the rank of Colonel and the equivalent or higher in post after May 2011; Major General of the 42nd Brigade and former Brigadier Commander of the Army’s 4th Armoured Division. Member of the Assad family; brother of President Bashar al‐Assad.,09-05-2011,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Ali MAMLUK,male,Presidential advisor for security affairs since January 2024. Former Vice President of the Syrian Arab Republic for Security Affairs. Former Director of the National Security Bureau. Former Head of Syrian Intelligence Directorate involved in violence against demonstrators.,09-05-2011,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Atif NAJIB,male,Former Head of the Political Security Directorate in Dara’a. Involved in violence against demonstrators. Member of the Assad family; cousin of President Bashar al-Assad.,09-05-2011,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Hafiz  MAKHLOUF,male,"Former Colonel and Head of Unit in General Intelligence Directorate, Damascus Branch in post after May 2011. Member of the Makhlouf family; cousin of President Bashar al-Assad.",09-05-2011,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Muhammad  Dib  ZAYTUN,male,Director of the National Security Bureau since July 2019. Former Head of the General Security Directorate; involved in violence against demonstrators.,09-05-2011,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Amjad  ABBAS  (a.k.a. al‐Abbas),male,"Former head of Political Security in Banyas, involved in violence against demonstrators in Baida. Promoted to the rank of Colonel in 2018.",09-05-2011,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Rami  MAKHLOUF,male,"Leading businessman operating in Syria with interests in the financial services, transport and property sectors. He has financial interests in and/or holds senior and executive positions in the investment funds Al Mashreq, Bena Properties and Cham Holding.; He furnishes financing and support to the Syrian regime, through his business interests.; He is an influential member of the Makhlouf family and closely connected to the Assad family; cousin of President Bashar Al-Assad.",09-05-2011,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Abd al-Fatah  QUDSIYAH,male,Officer of the rank of Major General in the Syrian Armed Forces in post after May 2011.; Deputy Director of the National Security Bureau of the Ba’ath Party. Former Head of the Syrian Military Intelligence Directorate. Involved in violent repression of the civilian population in Syria.,09-05-2011,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
Jamil  (a.k.a. Jameel) HASSAN  (a.k.a. al‐Hassan),male,Officer of the rank of Major‐General in the Syrian Air Force in post after May 2011. Former head of the Syrian Air Force Intelligence in post after May 2011 and until July 2019. Responsible for violent repression of the civilian population in Syria.,09-05-2011,COUNCIL_REGULATION_EU_36_2012_18_January_2012,02012R0036-20241125,http://data.europa.eu/eli/reg/2012/36/2024-11-25,Syria
