Name,Gender,Reason,Activity_based,Profit_based,Status_based,Family_member_sanctions,Dates,Doc_title,Doc_number,Doc_url,Case_Study,Nationality
Sergey Valeryevich AKSYONOV,male,"Sergey Aksyonov was elected ‘Prime Minister of Crimea’ in the Crimean Verkhovna Rada on 27 February 2014 in the presence of pro-Russian gunmen. His ‘election’ was decreed unconstitutional by the acting Ukrainian President Oleksandr Turchynov on 1 March 2014. He actively lobbied for the ‘referendum’ of 16 March 2014 and was one of the co-signatories of the ‘treaty on Crimea’s accession to the Russian Federation’ of 18 March 2014. On 9 April 2014, he was appointed acting ‘Head’ of the so-called ‘Republic of Crimea’ by the President of the Russian Federation Vladimir Putin. On 9 October 2014, he was formally ‘elected’‘Head’ of the so-called ‘Republic of Crimea’. ‘Re-elected’ in this position in September 2019.; Member of the Russia State Council. Since January 2017, member of the High Council of United Russia Party.; For his involvement in the annexation process he has been awarded with Russian State order ‘For Merit to the Fatherland’ – first degree.; Following the beginning of Russia’s war of aggression against Ukraine, he has remained active in supporting separatist actions and policies, including the ‘nationalisation’ of assets of Ukrainian politicians in the Republic of Crimea.; He is therefore responsible for supporting and implementing actions and policies which undermine and threaten the territorial integrity, sovereignty and independence of Ukraine, and stability and security in Ukraine.",,,,,17-03-2014,COUNCIL_REGULATION_EU_269_2014_of_17_March_2014,02014R0269-20250316,http://data.europa.eu/eli/reg/2014/269/2025-03-16,Ukraine,unknown
Vladimir Andreevich KONSTANTINOV,male,"As speaker of the Supreme Council of the Autonomous ‘Republic of Crimea’, Vladimir Konstantinov played a relevant role in the decisions taken by the ‘Supreme Council’ concerning the ‘referendum’ against territorial integrity of Ukraine and called on voters to cast their votes in favour of Crimean independence in the ‘referendum’ of 16 March 2014. He was one of the co-signatories of the ‘treaty on Crimea’s accession to the Russian Federation’ of 18 March 2014.; Since 17 March 2014‘Chairman’ of the ‘State Council’ of the so-called ‘Republic of Crimea’. ‘Re-elected’ in this position in September 2019.; Following the beginning of Russia’s war of aggression against Ukraine, he has remained active in supporting separatist actions and policies, including the ‘nationalisation’ of assets of Ukrainian politicians in the ‘Republic of Crimea’.; He is therefore responsible for supporting and implementing actions and policies which undermine and threaten the territorial integrity, sovereignty and independence of Ukraine, and stability and security in Ukraine.",,,,,17-03-2014,COUNCIL_REGULATION_EU_269_2014_of_17_March_2014,02014R0269-20250316,http://data.europa.eu/eli/reg/2014/269/2025-03-16,Ukraine,unknown
Rustam Ilmirovich TEMIRGALIEV,male,"As former Deputy Prime Minister of Crimea, Temirgaliev played a relevant role in the decisions taken by the ‘Supreme Council’ concerning the ‘referendum’ of 16 March 2014 against the territorial integrity of Ukraine. He lobbied actively for the integration of Crimea into the Russian Federation.; On 11 June 2014, he resigned from his function as ‘First Deputy Prime Minister’ of the so-called ‘Republic of Crimea’. Former General Director of the Managing Company of the Russian-Chinese Investment Fund for Regional Development.; Remains active in supporting separatist actions or policies.",,,,,17-03-2014,COUNCIL_REGULATION_EU_269_2014_of_17_March_2014,02014R0269-20250316,http://data.europa.eu/eli/reg/2014/269/2025-03-16,Ukraine,unknown
Denis Valentinovich BEREZOVSKIY,male,"Berezovskiy was appointed commander of the Ukrainian Navy on 1 March 2014 but thereafter swore an oath to the Crimean armed forces, thereby breaking his oath to the Ukrainian Navy.; He was Deputy Commander of the Black Sea Fleet of the Russian Federation until October 2015.; Deputy Commander of the Pacific Fleet of the Russian Federation and Vice-Admiral.",,,,,17-03-2014,COUNCIL_REGULATION_EU_269_2014_of_17_March_2014,02014R0269-20250316,http://data.europa.eu/eli/reg/2014/269/2025-03-16,Ukraine,unknown
Aleksei Mikhailovich CHALIY,male,"Chaliy became ‘People’s Mayor of Sevastopol’ by popular acclamation on 23 February 2014 and accepted this ‘vote’. He actively campaigned for Sevastopol to become a separate entity of the Russian Federation following a referendum on 16 March 2014. He was one of the co-signatories of the ‘treaty on Crimea’s accession to the Russian Federation’ of 18 March 2014. He was acting ‘governor’ of Sevastopol from 1 to 14 April 2014 and is a former ‘elected’ Chairman of the ‘Legislative Assembly’ of the City of Sevastopol. Former member of the ‘Legislative Assembly’ of the City of Sevastopol (until September 2019).; Remains active in supporting separatist actions or policies.; For his involvement in the annexation process, he has been awarded the Russian State order ‘For Merit to the Fatherland’ – first degree.; President of the Charitable Fund for Historical and Cultural Development of the City ‘35th Coast Battery’.; General manager of Smart Electric Networks LLC (OOO ‘Разумные электрические сети’).",,,,,17-03-2014,COUNCIL_REGULATION_EU_269_2014_of_17_March_2014,02014R0269-20250316,http://data.europa.eu/eli/reg/2014/269/2025-03-16,Ukraine,unknown
Pyotr Anatoliyovych ZIMA,male,"Zima was appointed as the new head of the Crimean Security Service (SBU) on 3 March 2014 by ‘Prime Minister’ Aksyonov and accepted this appointment. He has given relevant information including a database to the Russian Intelligence Service (FSB). This included information on Euro-Maidan activists and human rights defenders of Crimea. He played a relevant role in preventing Ukraine’s authorities from controlling the territory of Crimea. On 11 March 2014, the formation of an independent Security Service of Crimea was proclaimed by former SBU officers of Crimea. Active since 2015 in the Russian Intelligence Service (FSB).",,,,,17-03-2014,COUNCIL_REGULATION_EU_269_2014_of_17_March_2014,02014R0269-20250316,http://data.europa.eu/eli/reg/2014/269/2025-03-16,Ukraine,unknown
Sergey Pavlovych TSEKOV,male,"As Vice Speaker of the Verkhovna Rada of Crimea, Sergey Tsekov initiated, together with Sergey Aksyonov, the unlawful dismissal of the government of the Autonomous ‘Republic of Crimea’ (ARC). He drew Vladimir Konstantinov into this endeavour, threatening him with dismissal. He publicly recognised that the MPs from Crimea were the initiators of inviting Russian soldiers to take over the Verkhovna Rada of Crimea. He was one of the first Crimean Leaders to ask in public for the annexation of Crimea to Russia.; Member of the Federation Council of the Russian Federation from the so-called ‘Republic of Crimea’ since 2014, reappointed in September 2019. Member of the Council of the Federation Committee on Foreign Affairs.; Following the beginning of Russia’s war of aggression against Ukraine, he has remained active in supporting separatist actions and policies, including the ‘nationalisation’ of assets of Ukrainian politicians in the ‘Republic of Crimea’.; He is therefore responsible for supporting and implementing actions and policies which undermine and threaten the territorial integrity, sovereignty and independence of Ukraine, and stability and security in Ukraine.",,,,,17-03-2014,COUNCIL_REGULATION_EU_269_2014_of_17_March_2014,02014R0269-20250316,http://data.europa.eu/eli/reg/2014/269/2025-03-16,Ukraine,unknown
Viktor Alekseevich OZEROV,male,"Former Chairman of the Security and Defence Committee of the Federation Council of the Russian Federation.; On 1 March 2014, Ozerov, on behalf of the Security and Defence Committee of the Federation Council, publicly supported, in the Federation Council, the deployment of Russian forces in Ukraine.; In July 2017, he filed his resignation as the Chairman of the Security and Defence Committee. He continued to be a member of the Council and a member of the Committee on internal regulation and parliamentary affairs.; On 10 October 2017, by means of decree N 372-SF, Ozerov was included in the temporary commission of the Federation Council on protection of state sovereignty and prevention of interference in the internal affairs of the Russian Federation.; His mandate in the Federation Council expired in September 2019. Consultant of the Foundation Rospolitika since October 2019.; Currently, he is Deputy Head of the Consulting Centre ‘Tactical Solutions Agency’ in the Russian Presidential Academy of National Economy and Public Administration and Chairman of the Coordinating Council of the Non-State Sphere of Security of the Russian Federation.",,,,,17-03-2014,COUNCIL_REGULATION_EU_269_2014_of_17_March_2014,02014R0269-20250316,http://data.europa.eu/eli/reg/2014/269/2025-03-16,Ukraine,unknown
Vladimir Michailovich DZHABAROV,male,"First Deputy-Chairman of the International Affairs Committee of the Federation Council of the Russian Federation.; On 1 March 2014 Dzhabarov, on behalf of the International Affairs Committee of the Federation Council, publicly supported, in the Federation Council, the deployment of Russian forces in Ukraine.; On 22 February 2022, Dzhabarov supported, in the Federation Council, the ratification of the government decisions on the ‘Treaty of Friendship, Cooperation and Mutual Assistance between the Russian Federation and the Donetsk People’s Republic’ and the ‘Treaty of Friendship, Cooperation and Mutual Assistance between the Russian Federation and the Luhansk People’s Republic’.; On 22 February 2022, Dzhabarov supported, in the Federation Council, the deployment of Russian forces in Ukraine.; On 4 October 2022, Dzhabarov supported, in the Federation Council, the legislation to annex the Donetsk, Luhansk, Kherson and Zaporizhzhia regions of Ukraine.",,,,,17-03-2014,COUNCIL_REGULATION_EU_269_2014_of_17_March_2014,02014R0269-20250316,http://data.europa.eu/eli/reg/2014/269/2025-03-16,Ukraine,unknown
Andrei Aleksandrovich KLISHAS,male,"Chairman of the Committee on Constitutional Law and State Building of the Federation Council of the Russian Federation.; On 1 March 2014 Klishas publicly supported, in the Federation Council, the deployment of Russian forces in Ukraine. In public statements Klishas sought to justify a Russian military intervention in Ukraine by claiming that ‘the Ukrainian President supports the appeal of the Crimean authorities to the President of the Russian Federation on landing an all-encompassing assistance in defence of the citizens of Crimea’.; On 22 February 2022, Klishas supported, in the Federation Council, the ratification of the government decisions of the ‘Treaty of Friendship, Cooperation and Mutual Assistance between the Russian Federation and the Donetsk People’s Republic’ and the ‘Treaty of Friendship, Cooperation and Mutual Assistance between the Russian Federation and the Luhansk People’s Republic’.; On 22 February 2022, Klishas supported, in the Federation Council, the deployment of Russian forces in Ukraine.; On 4 October 2022, Klishas supported, in the Federation Council, the legislation to annex the Donetsk, Luhansk, Kherson and Zaporizhzhia regions of Ukraine.",,,,,17-03-2014,COUNCIL_REGULATION_EU_269_2014_of_17_March_2014,02014R0269-20250316,http://data.europa.eu/eli/reg/2014/269/2025-03-16,Ukraine,unknown
Nikolai Ivanovich RYZHKOV (Николай Иванович РЫЖКОВ),male,"Former member of the Committee for federal issues, regional politics and the North of the Federation Council of the Russian Federation.; On 1 March 2014 Ryzhkov publicly supported, in the Federation Council, the deployment of Russian forces in Ukraine.; For his involvement in the annexation process, in 2014 he was awarded with the Russian State order ‘For Merit to the Fatherland’ – first degree.; On 22 February 2022, Ryzhkov supported, in the Federation Council, the ratification of the government decisions of the ‘Treaty of Friendship, Cooperation and Mutual Assistance between the Russian Federation and the Donetsk People’s Republic’ and the ‘Treaty of Friendship, Cooperation and Mutual Assistance between the Russian Federation and the Luhansk People’s Republic’.; On 22 February 2022, Ryzhkov supported, in the Federation Council, the deployment of Russian forces in Ukraine.; On 4 October 2022, Ryzhkov supported, in the Federation Council, the legislation to annex the Donetsk, Luhansk, Kherson and Zaporizhzhia regions of Ukraine.",,,,,17-03-2014,COUNCIL_REGULATION_EU_269_2014_of_17_March_2014,02014R0269-20250316,http://data.europa.eu/eli/reg/2014/269/2025-03-16,Ukraine,unknown
Aleksandr Borisovich TOTOONOV,male,"Aleksandr Totoonov is a Member of the Parliament of North Ossetia-Alania and owner of the company ‘Southern Garden’. Former Member of the Committee of International Affairs of the Federation Council of the Russian Federation. His duties as a Member of the Council of the Russian Federation ended in September 2017.; Former First Deputy Chair of the Parliament of North Ossetia.; On 1 March 2014 Totoonov publicly supported, in the Federation Council, the deployment of Russian forces in Ukraine.",,,,,17-03-2014,COUNCIL_REGULATION_EU_269_2014_of_17_March_2014,02014R0269-20250316,http://data.europa.eu/eli/reg/2014/269/2025-03-16,Ukraine,unknown
