Name,Gender,Reason,Activity_based,Profit_based,Status_based,Family_member_sanctions,Dates,Doc_title,Doc_number,Doc_url,Case_Study,Nationality
Néstor Luis REVEROL TORRES,male,"Minister for Electrical Energy since October 2020, Vice-President of Public Works and Services and Executive Secretary of the Electrical General Staff since April 2019. Minister for Interior, Justice and Peace from 2016 until October 2020. General in Chief of the Bolivarian National Guard since August 2020. Responsible for serious human rights violations, including the torture of (political) prisoners, and the repression of the democratic opposition in Venezuela, including the prohibition and repression of political demonstrations, committed by security forces under his command.",,,,,22-01-2018,COUNCIL_REGULATION_EU_2017_2063_of_13_November_2017,02017R2063-20250111,http://data.europa.eu/eli/reg/2017/2063/2025-01-11,Venezuela,unknown
Gustavo Enrique GONZÁLEZ LÓPEZ,male,"Reappointed as General Director of the Bolivarian National Intelligence Service (SEBIN) on 30 April 2019. Security and Intelligence Adviser to President Maduro since January 2019 and General Director of SEBIN from February 2014 to October 2018. During the times he has served as SEBIN director, officials under his ultimate authority committed acts of arbitrary detention, torture and cruel and inhuman treatment, including sexual violence, in El Helicoide detention centre. As General Director of SEBIN, he is responsible for serious human rights violations, including arbitrary detention, inhuman and degrading treatment, and torture, and the repression of civil society and the democratic opposition in Venezuela.",,,,,22-01-2018,COUNCIL_REGULATION_EU_2017_2063_of_13_November_2017,02017R2063-20250111,http://data.europa.eu/eli/reg/2017/2063/2025-01-11,Venezuela,unknown
Antonio José BENAVIDES TORRES,male,"Member of the non-democratically elected National Assembly. Chief of the Capital District (Distrito Capital) Government until January 2018. General Commander of the Bolivarian National Guard until 21 June 2017. Involved in the repression of civil society and democratic opposition in Venezuela, and responsible for serious human rights violations committed by the Bolivarian National Guard under his command. His actions and policies as General Commander of the Bolivarian National Guard, including the Bolivarian National Guard taking the lead in the policing of civilian demonstrations and publicly advocating that military courts should have jurisdiction over civilians, have undermined the rule of law in Venezuela.",,,,,22-01-2018,COUNCIL_REGULATION_EU_2017_2063_of_13_November_2017,02017R2063-20250111,http://data.europa.eu/eli/reg/2017/2063/2025-01-11,Venezuela,unknown
Maikel José MORENO PÉREZ,male,"Judge of the Criminal Appeal Chamber of the Supreme Court of Venezuela (Tribunal Supremo de Justicia (TSJ)). Former President and Vice President of the Supreme Court. In those roles, he has supported and facilitated the Government’s actions and policies which have undermined democracy and the rule of law in Venezuela, and is responsible for actions and statements that have usurped the authority of the National Assembly, including the appointment of the National Electoral Council (CNE) in June 2020 and the suspension and replacement of the leadership of three opposition parties in June and July 2020.",,,,,22-01-2018,COUNCIL_REGULATION_EU_2017_2063_of_13_November_2017,02017R2063-20250111,http://data.europa.eu/eli/reg/2017/2063/2025-01-11,Venezuela,unknown
Tarek William SAAB HALABI,male,"President of the Republican Moral Council since December 2023. Venezuelan Attorney General appointed by the Constituent Assembly. In those roles, and in previous roles as Ombudsman and President of the Republican Moral Council, he has undermined democracy and the rule of law in Venezuela by publicly supporting actions against opponents of the government of Venezuela and the withdrawal of competences from the National Assembly.",,,,,22-01-2018,COUNCIL_REGULATION_EU_2017_2063_of_13_November_2017,02017R2063-20250111,http://data.europa.eu/eli/reg/2017/2063/2025-01-11,Venezuela,unknown
Diosdado CABELLO RONDÓN,male,"Member of the non-democratically elected National Assembly, former President of the Constituent Assembly and First Vice-President of the United Socialist Party of Venezuela (PSUV). Involved in undermining democracy and the rule of law in Venezuela and the repression of civil society and democratic opposition, including by using the media to publicly attack and threaten political opposition, other media and civil society and giving orders to detain individuals, including to the Bolivarian National Intelligence Service (SEBIN).",,,,,22-01-2018,COUNCIL_REGULATION_EU_2017_2063_of_13_November_2017,02017R2063-20250111,http://data.europa.eu/eli/reg/2017/2063/2025-01-11,Venezuela,unknown
Tareck Zaidan EL-AISSAMI MADDAH,male,"Former Vice President of Economy and former Minister of the Popular Power of Petroleum as well as National Industry and Production. As the former Vice President of Venezuela with oversight of the direction of the Bolivarian National Intelligence Service (SEBIN), Tareck El-Aissami is responsible for the serious human rights violations carried out by the organisation, including arbitrary detentions, politically motivated investigations, inhuman and degrading treatment, and torture. He is also responsible for supporting and implementing policies and activities which undermine democracy and the rule of law, including the prohibition of public demonstrations, and heading President Maduro’s ‘anti-coup command’ which has targeted civil society and the democratic opposition.",,,,,25-06-2018,COUNCIL_REGULATION_EU_2017_2063_of_13_November_2017,02017R2063-20250111,http://data.europa.eu/eli/reg/2017/2063/2025-01-11,Venezuela,unknown
Sergio José RIVERO MARCANO,male,"Inspector General of the Bolivarian National Armed Forces (FANB), General Commander of the Bolivarian National Guard until 16 January 2018, placed in ‘active reserve’ in July 2023. Involved in the repression of civil society and democratic opposition in Venezuela, and responsible for serious human rights violations committed by the Bolivarian National Guard under his command, including the excessive use of force, and the arbitrary detention and abuse of civil society and opposition members. His actions and policies as General Commander of the Bolivarian National Guard, including the Bolivarian National Guard assaulting members of the democratically elected National Assembly and intimidating journalists reporting on the fraudulent elections for the illegitimate Constituent Assembly, have undermined democracy and the rule of law in Venezuela.",,,,,25-06-2018,COUNCIL_REGULATION_EU_2017_2063_of_13_November_2017,02017R2063-20250111,http://data.europa.eu/eli/reg/2017/2063/2025-01-11,Venezuela,unknown
Jesús Rafael SUÁREZ CHOURIO,male,"President of the Defence and Security Committee of the non-democratically elected National Assembly since January 2021. Former Chief of the General Staff of the Commander-in-Chief of the Armed Forces (between July 2019 and September 2020). Former Commander in Chief of the Venezuelan Bolivarian National Army (until July 2019). Former General Commander of the Venezuelan Bolivarian National Army and former Commander of Venezuela’s Comprehensive Defence Region of the Central Zone (REDI Central). Responsible for serious human rights violations by forces under his command during his tenure as General Commander of the Venezuelan Bolivarian National Army, including the use of excessive force and the mistreatment of detainees. He has targeted the democratic opposition and supported the use of military courts to try civilian protestors.",,,,,25-06-2018,COUNCIL_REGULATION_EU_2017_2063_of_13_November_2017,02017R2063-20250111,http://data.europa.eu/eli/reg/2017/2063/2025-01-11,Venezuela,unknown
Iván HERNÁNDEZ DALA,male,"Major-General in FANB. Director-General of Military Counter-Intelligence (DGCIM) since January 2014 and Head of the Presidential Guard since September 2015. As Head of the DGCIM, Iván Hernández Dala is responsible for the repression of civil society and democratic opposition and for serious human rights violations committed by members of the DGCIM under his command, including torture, the use of excessive force and the ill-treatment of detainees.",,,,,25-06-2018,COUNCIL_REGULATION_EU_2017_2063_of_13_November_2017,02017R2063-20250111,http://data.europa.eu/eli/reg/2017/2063/2025-01-11,Venezuela,unknown
Delcy Eloina RODRÍGUEZ GÓMEZ,female,"Vice-President of Venezuela, Minister of the Economy, Finances and Trade. Former President of the illegitimate Constituent Assembly and former member of the Presidential Commission for the illegitimate National Constituent Assembly. Her actions in the Presidential Commission and then as President of the illegitimate Constituent Assembly have undermined democracy and the rule of law in Venezuela, including usurping the powers of the National Assembly and using them to target the opposition and to prevent them from taking part in the political process.",1,0,0,0,25-06-2018,COUNCIL_REGULATION_EU_2017_2063_of_13_November_2017,02017R2063-20250111,http://data.europa.eu/eli/reg/2017/2063/2025-01-11,Venezuela,unknown
Elías José JAUA MILANO,male,Former Minister of Popular Power for Education. Former President of the Presidential Commission for the illegitimate National Constituent Assembly. Responsible for undermining democracy and the rule of law in Venezuela through his role in leading the establishment of the illegitimate Constituent Assembly.,,,,,25-06-2018,COUNCIL_REGULATION_EU_2017_2063_of_13_November_2017,02017R2063-20250111,http://data.europa.eu/eli/reg/2017/2063/2025-01-11,Venezuela,unknown
Sandra OBLITAS RUZZA,female,"Minister of University Education. Former Rector of the Universidad Bolivariana de Venezuela. Former Vice President of the National Electoral Council (CNE) and former President of the Commission of the Electoral and Civilian Register. Responsible for CNE activities which have undermined democracy in Venezuela, including by facilitating the establishment of the illegitimate Constituent Assembly and the manipulation of the electoral process.",1,0,0,0,25-06-2018,COUNCIL_REGULATION_EU_2017_2063_of_13_November_2017,02017R2063-20250111,http://data.europa.eu/eli/reg/2017/2063/2025-01-11,Venezuela,unknown
Freddy Alirio BERNAL ROSALES,male,"Governor of Táchira State since winning the elections in November 2021. Former Head of the National Control Centre of the Committee for Local Supply and Production (CLAP) and former Protector of Táchira State. Also a Commissioner General of the Bolivarian National Intelligence Service (SEBIN). As Head of the CLAP and Protector of Táchira State he was able to call upon Special Forces (FAES) and to influence appointments of judges and prosecutors. Responsible for undermining democracy through manipulation of CLAP programme distributions amongst voters. Additionally, as Commissioner General of SEBIN he is responsible for SEBIN’s activities which include serious human rights violations such as arbitrary detention.",,,,,25-06-2018,COUNCIL_REGULATION_EU_2017_2063_of_13_November_2017,02017R2063-20250111,http://data.europa.eu/eli/reg/2017/2063/2025-01-11,Venezuela,unknown
Katherine Nayarith HARRINGTON PADRÓN,female,"President of the Criminal Judicial Circuit of the Metropolitan Area of Caracas. Former Deputy Prosecutor General (also translated as Deputy Attorney General) from July 2017 until October 2018. Appointed Deputy Prosecutor General by the Supreme Court rather than by the National Assembly, in violation of the Constitution. Responsible for undermining democracy and the rule of law in Venezuela, including by initiating politically-motivated prosecutions and failing to investigate allegations of human rights violations by the Maduro regime.",1,0,0,0,25-06-2018,COUNCIL_REGULATION_EU_2017_2063_of_13_November_2017,02017R2063-20250111,http://data.europa.eu/eli/reg/2017/2063/2025-01-11,Venezuela,unknown
Socorro Elizabeth HERNÁNDEZ,female,"Member (Rector) of the National Electoral Council (CNE) until 12 June 2020 and member of the National Electoral Board (JNE). Responsible for the CNE's activities which have undermined democracy in Venezuela, including facilitating the establishment of the illegitimate Constituent Assembly and manipulation of the electoral process in relation to a cancelled presidential recall election in 2016, postponement of gubernatorial elections in 2016, and the relocation of polling stations at short notice before gubernatorial elections in 2017.",1,0,0,0,25-06-2018,COUNCIL_REGULATION_EU_2017_2063_of_13_November_2017,02017R2063-20250111,http://data.europa.eu/eli/reg/2017/2063/2025-01-11,Venezuela,unknown
