Name,Gender,Reason,Direct,Indirect,Activity,Profit,Family_status,Dates,Doc_title,Doc_number,Doc_url,Case_study
Yun Ho-jin,unknown,Director of Namchongang Trading Corporation; oversees the import of items needed for the uranium enrichment programme.,,,,,,16-07-2009,COUNCIL_REGULATION_EU_2017_1509_30_August_2017,02017R1509-20240913,http://data.europa.eu/eli/reg/2017/1509/2024-09-13,DPRK
Ri Je-Son,unknown,"Former Minister of Atomic Energy Industry. Former Director of the General Bureau of Atomic Energy (GBAE), chief agency directing DPRK’s nuclear programme; facilitated several nuclear endeavours, including GBAE’s management of Yongbyon Nuclear Research Centre and Namchongang Trading Corporation.",,,,,,16-07-2009,COUNCIL_REGULATION_EU_2017_1509_30_August_2017,02017R1509-20240913,http://data.europa.eu/eli/reg/2017/1509/2024-09-13,DPRK
Hwang Sok-hwa,unknown,"Director in the General Bureau of Atomic Energy (GBAE); involved in the Democratic People’s Republic of Korea’s nuclear programme; as Chief of the Scientific Guidance Bureau in the GBAE, served on the Science Committee inside the Joint Institute for Nuclear Research.",,,,,,16-07-2009,COUNCIL_REGULATION_EU_2017_1509_30_August_2017,02017R1509-20240913,http://data.europa.eu/eli/reg/2017/1509/2024-09-13,DPRK
Ri Hong-sop,unknown,"Former director, Yongbyon Nuclear Research Centre, and Head of Nuclear Weapons Institute, oversaw three core facilities that assist in the production of weapons-grade plutonium: the Fuel Fabrication Facility, the Nuclear Reactor, and the Reprocessing Plant.",,,,,,16-07-2009,COUNCIL_REGULATION_EU_2017_1509_30_August_2017,02017R1509-20240913,http://data.europa.eu/eli/reg/2017/1509/2024-09-13,DPRK
Han Yu-ro,unknown,Director of Korea Ryongaksan General Trading Corporation; involved in DPRK's ballistic missile programme.,,,,,,16-07-2009,COUNCIL_REGULATION_EU_2017_1509_30_August_2017,02017R1509-20240913,http://data.europa.eu/eli/reg/2017/1509/2024-09-13,DPRK
Paek Chang-Ho,unknown,Senior official and head of the satellite control centre of Korean Committee for Space Technology.,,,,,,22-01-2013,COUNCIL_REGULATION_EU_2017_1509_30_August_2017,02017R1509-20240913,http://data.europa.eu/eli/reg/2017/1509/2024-09-13,DPRK
Chang Myong- Chin,unknown,General Manager of the Sohae Satellite Launching Station and head of launch centre at which the 13 April and 12 December 2012 launches took place.,,,,,,22-01-2013,COUNCIL_REGULATION_EU_2017_1509_30_August_2017,02017R1509-20240913,http://data.europa.eu/eli/reg/2017/1509/2024-09-13,DPRK
Ra Ky’ong-Su,unknown,"Ra Ky’ong-Su is a Tanchon Commercial Bank (TCB) official. In this capacity he has facilitated transactions for TCB. Tanchon was designated by the Sanctions Committee in April 2009 as the main DPRK financial entity responsible for sales of conventional arms, ballistic missiles, and goods related to the assembly and manufacture of such weapons.",,,,,,22-01-2013,COUNCIL_REGULATION_EU_2017_1509_30_August_2017,02017R1509-20240913,http://data.europa.eu/eli/reg/2017/1509/2024-09-13,DPRK
Kim Kwang-il,unknown,"Kim Kwang-il is a Tanchon Commercial Bank (TCB) official. In this capacity, he has facilitated transactions for TCB and the Korea Mining Development Trading Corporation (KOMID). Tanchon was designated by the Sanctions Committee in April 2009 as the main DPRK financial entity responsible for sales of conventional arms, ballistic missiles, and goods related to the assembly and manufacture of such weapons. KOMID was designated by the Sanctions Committee in April 2009 and is the DPRK's primary arms dealer and main exporter of goods and equipment related to ballistic missiles and conventional weapons.",,,,,,22-01-2013,COUNCIL_REGULATION_EU_2017_1509_30_August_2017,02017R1509-20240913,http://data.europa.eu/eli/reg/2017/1509/2024-09-13,DPRK
Yo'n Cho'ng Nam,unknown,Chief Representative for the Korea Mining Development Trading Corporation (KOMID). The KOMID was designated by the Sanctions Committee in April 2009 and is the DPRK's primary arms dealer and main exporter of goods and equipment related to ballistic missiles and conventional weapons,,,,,,07-03-2013,COUNCIL_REGULATION_EU_2017_1509_30_August_2017,02017R1509-20240913,http://data.europa.eu/eli/reg/2017/1509/2024-09-13,DPRK
